family     , n , VUS-PR_raw_max      , VUS-PR_raw_mean     , VUS-PR_raw_median   , VUS-PR_z_train_max  , VUS-PR_z_train_mean , VUS-PR_z_train_median, VUS-PR_z_val_max    , VUS-PR_z_val_mean   , VUS-PR_z_val_median , VUS-ROC_raw_max    , VUS-ROC_raw_mean   , VUS-ROC_raw_median , VUS-ROC_z_train_max, VUS-ROC_z_train_mean, VUS-ROC_z_train_median, VUS-ROC_z_val_max  , VUS-ROC_z_val_mean , VUS-ROC_z_val_median, AUC-PR_raw_max       , AUC-PR_raw_mean      , AUC-PR_raw_median    , AUC-PR_z_train_max   , AUC-PR_z_train_mean , AUC-PR_z_train_median, AUC-PR_z_val_max     , AUC-PR_z_val_mean    , AUC-PR_z_val_median  , AUC-ROC_raw_max   , AUC-ROC_raw_mean   , AUC-ROC_raw_median, AUC-ROC_z_train_max, AUC-ROC_z_train_mean, AUC-ROC_z_train_median, AUC-ROC_z_val_max  , AUC-ROC_z_val_mean , AUC-ROC_z_val_median, Standard-F1_raw_max , Standard-F1_raw_mean, Standard-F1_raw_median, Standard-F1_z_train_max, Standard-F1_z_train_mean, Standard-F1_z_train_median, Standard-F1_z_val_max, Standard-F1_z_val_mean, Standard-F1_z_val_median, PA-F1_raw_max       , PA-F1_raw_mean      , PA-F1_raw_median    , PA-F1_z_train_max  , PA-F1_z_train_mean  , PA-F1_z_train_median, PA-F1_z_val_max    , PA-F1_z_val_mean   , PA-F1_z_val_median
CATSv2     ,  6, 0.2713122284181711  , 0.23407423508274353 , 0.05909280811006879 , 0.3693856686885702  , 0.30893854040013674 ,  0.05348237679645793 , 0.316780124558091   , 0.28317285970348605 , 0.05377112185013178 , 0.7476184237492979 , 0.7346018267951367 , 0.5712744619242537 , 0.7931033063753903 ,  0.7641568253466757 ,     0.5577884249922507, 0.77018360688549   , 0.7512696716555364 ,  0.5606386822928024 , 0.29955820820914086  , 0.2630225832850909   , 0.05664375383651899  , 0.3827121506802899   , 0.33121534524846    ,  0.05035270736891851 , 0.3402110851299318   , 0.3130037368855691   , 0.051380646183103805 , 0.7261649723873518, 0.7135933454828011 , 0.5518070368531206, 0.7704430381121486 ,  0.741748075370294  ,    0.5362828660190124 , 0.746424328111599  , 0.7283484830230819 ,  0.5387980530400102 , 0.347242339334908   , 0.310879339920799   ,    0.10241095077122377,    0.44784546938328984 ,     0.39163809048025816 ,       0.09350882960642354 , 0.3981877382691115   ,  0.36928133823049536  ,    0.09201810250262239  , 0.7370276077655896  , 0.7400131799089289  , 0.7283302049079795  , 0.6394257376597673 , 0.7357082999302923  , 0.6750581375347289  , 0.6172323601478528 , 0.7372825170892234 , 0.6528112314602029
CreditCard ,  1, 0.03445116390495389 , 0.041265521893935966, 0.05125830075972444 , 0.0382411459862674  , 0.04359616750660659 ,  0.04975449163546805 , 0.020219091391283955, 0.020219091391283955, 0.020219091391283955, 0.7094771538911132 , 0.6891801794056107 , 0.7332160495964783 , 0.7269877397360053 ,  0.6946369363108917 ,     0.7317923549206673, 0.504689696601802  , 0.504689696601802  ,  0.504689696601802  , 0.0045482395071185355, 0.005297362292366806 , 0.006656908940075272 , 0.0050806589462302435, 0.005599730165712746,  0.00622631197399093 , 0.0017305236944570482, 0.0017305236944570482, 0.0017305236944570482, 0.6132329487503955, 0.6248751942357963 , 0.6139046118012578, 0.6208612432036271 ,  0.6283810277191615 ,    0.6128762237625018 , 0.5                , 0.5                ,  0.5                , 0.020370763513531637, 0.022404679396529403,    0.03356214183688371,    0.024535093228373644,     0.025440610771670612,       0.03293630145513185 , 0.0034550338206840447,  0.0034550338206840447,    0.0034550338206840447, 0.02364066193853428 , 0.027816411682892908, 0.04904632152588556 , 0.02886002886002886, 0.029197080291970802, 0.0367504835589942  , 0.0                , 0.0                , 0.0
Daphnet    ,  1, 0.1873704128730902  , 0.2079864242482645  , 0.27774411330540766 , 0.22747338162739145 , 0.22546226344396436 ,  0.2791264311690944  , 0.20649030196075355 , 0.21404746151415144 , 0.26139063734439205 , 0.8067447294217021 , 0.8254135895712015 , 0.8876180613075932 , 0.8466839370151901 ,  0.8421055064036336 ,     0.8780091817049422, 0.8276308010686462 , 0.8367480431575328 ,  0.8731211449556591 , 0.1654607801605829   , 0.18280396928272752  , 0.2543599527075837   , 0.20497725077300993  , 0.20007227828156887 ,  0.24908653010097526 , 0.18537198973401764  , 0.19257277412548202  , 0.23464519340518608  , 0.8074151707517353, 0.8270326829777878 , 0.8843094497122354, 0.8478725494245112 ,  0.8438947640345529 ,    0.8758362668571331 , 0.8290637746859366 , 0.8365514717017193 ,  0.8714804962169892 , 0.35214926493864895 , 0.3619714119506282  ,    0.4289380019417635 ,    0.36908627946974354 ,     0.372679880233247   ,       0.4004741894018253  , 0.3519906189313477   ,  0.36153368178656076  ,    0.41862259717763506  , 0.4192294096854012  , 0.4670080468178493  , 0.6534288638689867  , 0.5842259006815969 , 0.5509641873278237  , 0.6222775357809583  , 0.520039100684262  , 0.5332442365519545 , 0.5809450038729667
Exathlon   , 27, 0.6500342526171634  , 0.6714780944399087  , 0.828167211648689   , 0.6460799697011963  , 0.6549550727471263  ,  0.8273091374852745  , 0.6640772824758489  , 0.6684270693679553  , 0.8134057189139084  , 0.8759460100472587 , 0.8795656272999006 , 0.9449004327490778 , 0.9027272075978691 ,  0.890898711421211  ,     0.9447342516479972, 0.9042436662327081 , 0.9054183575848346 ,  0.9421119479318715 , 0.6514589201159305   , 0.671822417946028    , 0.8097679306414312   , 0.6520763434169978   , 0.6606317337279038  ,  0.8073294118982958  , 0.6728382795898088   , 0.6769839634603237   , 0.7950010177506583   , 0.8957518306103329, 0.8995322748796724 , 0.9428231553755266, 0.9227557842200425 ,  0.9109060580580837 ,    0.942866820224438  , 0.9242111307840737 , 0.9254479042679606 ,  0.9399623870510472 , 0.7601477543162454  , 0.7962437116907337  ,    0.8693605240622645 ,    0.7736541213710795  ,     0.7778480224160161  ,       0.8810508565706788  , 0.7606907153850698   ,  0.7687823484339474   ,    0.8550027743952922   , 0.9553938844130742  , 0.9532947762051763  , 0.9947930448052263  , 0.9509127617839999 , 0.9518779582396033  , 0.9954230150642317  , 0.9584662569659105 , 0.9564147959023314 , 0.9944296696835191
GECCO      ,  1, 0.2279433324008897  , 0.2273457617673958  , 0.1266130874921864  , 0.19413202197738763 , 0.19565863660841376 ,  0.1508285292495143  , 0.18509315754647862 , 0.18843158481080063 , 0.16740822910995104 , 0.9351042692797151 , 0.9335541373111902 , 0.8093303922133146 , 0.9179281161709696 ,  0.9174933688143757 ,     0.827490126114546 , 0.9155029064039515 , 0.9163787911288167 ,  0.8403015687021523 , 0.3899098673709055   , 0.3940158897406257   , 0.3428879290339466   , 0.3806291250459317   , 0.38716466622619694 ,  0.35311933265962364 , 0.3791339194074941   , 0.3859805406245129   , 0.3617084419662708   , 0.8899277153384284, 0.8939696710078192 , 0.8170639724682189, 0.8778884686988521 ,  0.879918761765313  ,    0.8173912039044917 , 0.8755780750903257 , 0.8782663227403371 ,  0.8353829772988834 , 0.46056840116682213 , 0.4848440666461928  ,    0.3979223431830159 ,    0.4615341414799874  ,     0.4842867081520035  ,       0.4025618965743432  , 0.45916725193784896  ,  0.4837783365487352   ,    0.4056018300379774   , 0.5400078833267639  , 0.5421448357736446  , 0.5174251742517425  , 0.5400078833267639 , 0.541501976284585   , 0.5111381125961928  , 0.5400078833267639 , 0.5419303797468354 , 0.508460918614021
GHL        , 25, 0.010014213764680702, 0.010049776963506228, 0.011539804478813323, 0.011505158617354372, 0.010336639879727274,  0.010764143143662808, 0.011897249240844447, 0.010932949460046068, 0.011369629263462033, 0.20789153446215594, 0.20581416902285352, 0.34654693549360993, 0.32253113107924136,  0.21570074390284916,     0.3110078248358057, 0.33206753590620736, 0.2540876810356092 ,  0.32555804895046264, 0.008438635345216161 , 0.00842931957487753  , 0.010849306322025042 , 0.01121869120732513  , 0.008657326241053014,  0.009922074988452061, 0.011582246723828097 , 0.009333451003798296 , 0.010340104831080412 , 0.1747838770497581, 0.17283750982514592, 0.3311765563395449, 0.2949113310787527 ,  0.18421004556085369,    0.2856366095204259 , 0.3057540014027786 , 0.22564547431475065,  0.30223805501938283, 0.030254979365628966, 0.03020037204740667 ,    0.03470606789973546,    0.0346518827888981  ,     0.030532563251997876,       0.03308145797330335 , 0.03440038348456869  ,  0.03221610188729374  ,    0.035153788000186786 , 0.12118115020924958 , 0.13816169351690732 , 0.3540557910023681  , 0.28047675004309375, 0.21595474100929518 , 0.23307297495784332 , 0.29134173205304925, 0.22786518913916828, 0.23250842508048258
Genesis    ,  1, 0.015502998295308006, 0.026000112506408744, 0.015180155421617367, 0.08671559894095025 , 0.11664796916808093 ,  0.012225222151058293, 0.3920775823501052  , 0.38898955945413594 , 0.026862227212617943, 0.7701890750075807 , 0.8500552572574163 , 0.7486395402868922 , 0.9612696353791597 ,  0.9686275249271259 ,     0.7119882608230828, 0.9871685913069606 , 0.9864942175634359 ,  0.8591644440811697 , 0.00409712418002365  , 0.0058856807474879725, 0.0052264029477402454, 0.027897978619760348 , 0.03179720839928151 ,  0.004728051682468859, 0.08635206120774706  , 0.07404337714135763  , 0.008548242402864588 , 0.5378109781262898, 0.6645678910441601 , 0.6392208006603385, 0.8991894345852248 ,  0.8946347503095335 ,    0.596188196450681  , 0.9142616591002889 , 0.9139562525794469 ,  0.7782352455633512 , 0.011126819849544329, 0.016330444698541807,    0.01585021523776007,    0.08766995685850464 ,     0.10837287703542164 ,       0.014816862856476104, 0.23447990490987938  ,  0.22052924002044552  ,    0.0265483998444591   , 0.023171614771904415, 0.0427426536064114  , 0.038834951456310676, 0.15458937198067632, 0.19161676646706588 , 0.018709073900841908, 0.41201716738197425, 0.4247787610619469 , 0.062411347517730496
LTDB       ,  5, 0.3876699209523039  , 0.3909396469862406  , 0.3909920024298677  , 0.3861635136327055  , 0.3895931147596305  ,  0.3897582127518779  , 0.3509205213895492  , 0.35471441233472356 , 0.35471441233472356 , 0.7348056144542185 , 0.7363444817898745 , 0.7390400535018344 , 0.7360086397006356 ,  0.7367133502255493 ,     0.7388557944185206, 0.6935440026083884 , 0.6946803624839053 ,  0.6946803624839053 , 0.29480914675490444  , 0.301733241431612    , 0.30175453152158166  , 0.2940636349717165   , 0.301068972571963   ,  0.30121802396831165 , 0.2657942242841255   , 0.27083574976894004  , 0.27083574976894004  , 0.6728678990207323, 0.6755541946542026 , 0.6767418621508278, 0.672360175474991  ,  0.6754851393105877 ,    0.6765441343608352 , 0.6556595076738508 , 0.6569626782935657 ,  0.6569626782935657 , 0.37425325556950767 , 0.37553909141722164 ,    0.37554135150540013,    0.3744741233489842  ,     0.3752968914406666  ,       0.37529824746983464 , 0.36268330666872706  ,  0.3646295576383693   ,    0.3646295576383693   , 0.6225849941336816  , 0.6324531577469749  , 0.6408333097703244  , 0.6337697520678909 , 0.6332840774683927  , 0.6374982723700899  , 0.36362936811771196, 0.3669605640982921 , 0.3669605640982921
MITDB      , 13, 0.14262166876488688 , 0.1454026279061338  , 0.1454026279061338  , 0.15372781686891643 , 0.1535305435737562  ,  0.1535305435737562  , 0.1558157010693827  , 0.15466906587480178 , 0.15466906587480178 , 0.7826888399102822 , 0.7850885578710324 , 0.7850885578710324 , 0.7874664008049346 ,  0.7893378263619565 ,     0.7893378263619565, 0.7880834005533793 , 0.788595768753784  ,  0.788595768753784  , 0.15970351179551048  , 0.16376526910209585  , 0.16376526910209585  , 0.1698506616192494   , 0.17003350629555383 ,  0.17003350629555383 , 0.17158652884346978  , 0.17056856053400699  , 0.17056856053400699  , 0.7335570772796871, 0.7356708488124603 , 0.7356708488124603, 0.7380879014215742 ,  0.7405399184720375 ,    0.7405399184720375 , 0.7379684489886897 , 0.7399026207901083 ,  0.7399026207901083 , 0.2286953910031338  , 0.23541516651169986 ,    0.23541516651169986,    0.23710020460348005 ,     0.23892472394404965 ,       0.23892472394404965 , 0.23555887164713127  ,  0.23820717536787822  ,    0.23820717536787822  , 0.8384903184551745  , 0.8478981675609272  , 0.8478981675609272  , 0.8646904308762979 , 0.8590261064715288  , 0.8590261064715288  , 0.8552071764064855 , 0.8556494495093432 , 0.8556494495093432
MSL        , 15, 0.32286551749219383 , 0.3536063891375418  , 0.16156738838395765 , 0.29522308639567446 , 0.2919835571316976  ,  0.18035017791841176 , 0.20532303187100356 , 0.20029736809649457 , 0.12851348372590599 , 0.8305559576429877 , 0.8648478195879957 , 0.6803945344684571 , 0.8111985974790354 ,  0.8164507335964362 ,     0.6957018692689813, 0.6097752887612551 , 0.6112098563822271 ,  0.5715165148049929 , 0.21837702798965133  , 0.21967681740744444  , 0.12028886117623225  , 0.1916530136742873   , 0.18685639025243792 ,  0.1085860211242264  , 0.12928327450473334  , 0.12628918175469012  , 0.0852428112129957   , 0.7478561567985761, 0.7926924705819277 , 0.5449734552367526, 0.7191425587744775 ,  0.7327524086903865 ,    0.5833672507797382 , 0.5817110048381071 , 0.585083913392411  ,  0.5521961147459408 , 0.35993474904706624 , 0.36811868642093937 ,    0.18702062953525403,    0.32737643277848216 ,     0.32883754447775204 ,       0.20129510191651753 , 0.23254100460041277  ,  0.22863808575212788  ,    0.157307508182332    , 0.734616389418416   , 0.7560354446452451  , 0.7084055019376231  , 0.74209216805958   , 0.6896308465008628  , 0.6782839798647208  , 0.22471104823053437, 0.21595942997933834, 0.21622310168819345
