dataset_id      , family     , n_eval_rows, n_channels, n_kept_train_baseline, n_kept_val_baseline, sliding_window, vus_pr_raw_max      , vus_roc_raw_max     , auc_pr_raw_max       , auc_roc_raw_max     , standard_f1_raw_max , pa_f1_raw_max       , vus_pr_raw_mean     , vus_roc_raw_mean    , auc_pr_raw_mean      , auc_roc_raw_mean    , standard_f1_raw_mean, pa_f1_raw_mean      , vus_pr_raw_median    , vus_roc_raw_median , auc_pr_raw_median    , auc_roc_raw_median , standard_f1_raw_median, pa_f1_raw_median    , vus_pr_z_train_max  , vus_roc_z_train_max, auc_pr_z_train_max   , auc_roc_z_train_max, standard_f1_z_train_max, pa_f1_z_train_max   , vus_pr_z_train_mean , vus_roc_z_train_mean, auc_pr_z_train_mean  , auc_roc_z_train_mean, standard_f1_z_train_mean, pa_f1_z_train_mean  , vus_pr_z_train_median, vus_roc_z_train_median, auc_pr_z_train_median, auc_roc_z_train_median, standard_f1_z_train_median, pa_f1_z_train_median, vus_pr_z_val_max     , vus_roc_z_val_max  , auc_pr_z_val_max     , auc_roc_z_val_max   , standard_f1_z_val_max, pa_f1_z_val_max     , vus_pr_z_val_mean   , vus_roc_z_val_mean , auc_pr_z_val_mean    , auc_roc_z_val_mean  , standard_f1_z_val_mean, pa_f1_z_val_mean    , vus_pr_z_val_median , vus_roc_z_val_median, auc_pr_z_val_median  , auc_roc_z_val_median, standard_f1_z_val_median, pa_f1_z_val_median
Exathlon_id_16  , Exathlon   ,       34705,         12,                    12,                  12,             10, 0.7489283546432746  , 0.9874554564636931  , 0.7452380425556371   , 0.9872325738676483  , 0.8875960878987903  , 0.9826666666666667  , 0.7394701575812089  , 0.9869770484880924  , 0.7269564676650737   , 0.9867758896476639  , 0.8913259414805542  , 0.9779399568751037  , 0.7494616877230655   , 0.9875156644186657 , 0.7464812093322246   , 0.9873296461259934 ,   0.9028732943130753  , 0.9986449864498645  , 0.5580495386880506  , 0.966155563601481  , 0.5625122200150143   , 0.9661092693611412 ,    0.7685576517298526  , 0.9512746047111972  , 0.5768103560228183  ,  0.9691340050926236 , 0.5824076833503179   , 0.969067729040141   ,     0.7837602323759749  , 0.9554367201426025  , 0.7280400326073853   ,    0.9865711794343504 , 0.7136130119751669   ,    0.9863569757458663 ,       0.8896312456636596  , 0.9912575655682583  , 0.7455772955110406   , 0.9872897237033853 , 0.7321487609302214   , 0.986823653009676   , 0.8868586348613942   , 0.9890957892970978  , 0.7454160532295435  , 0.9872888111244457 , 0.7318722410133432   , 0.9868389178075533  ,  0.8876567472858857   , 0.9892617449664429  , 0.7353609896002922  ,  0.9865897299075344 , 0.7269047504497654   ,  0.9863949366093805 ,    0.880896666466527    , 0.9857883297107507
Daphnet         , Daphnet    ,       28794,          9,                     9,                   9,             58, 0.1873704128730902  , 0.8067447294217021  , 0.1654607801605829   , 0.8074151707517353  , 0.35214926493864895 , 0.4192294096854012  , 0.2079864242482645  , 0.8254135895712015  , 0.18280396928272752  , 0.8270326829777878  , 0.3619714119506282  , 0.4670080468178493  , 0.27774411330540766  , 0.8876180613075932 , 0.2543599527075837   , 0.8843094497122354 ,   0.4289380019417635  , 0.6534288638689867  , 0.22747338162739145 , 0.8466839370151901 , 0.20497725077300993  , 0.8478725494245112 ,    0.36908627946974354 , 0.5842259006815969  , 0.22546226344396436 ,  0.8421055064036336 , 0.20007227828156887  , 0.8438947640345529  ,     0.372679880233247   , 0.5509641873278237  , 0.2791264311690944   ,    0.8780091817049422 , 0.24908653010097526  ,    0.8758362668571331 ,       0.4004741894018253  , 0.6222775357809583  , 0.20649030196075355  , 0.8276308010686462 , 0.18537198973401764  , 0.8290637746859366  , 0.3519906189313477   , 0.520039100684262   , 0.21404746151415144 , 0.8367480431575328 , 0.19257277412548202  , 0.8365514717017193  ,  0.36153368178656076  , 0.5332442365519545  , 0.26139063734439205 ,  0.8731211449556591 , 0.23464519340518608  ,  0.8714804962169892 ,    0.41862259717763506  , 0.5809450038729667
Exathlon_id_10  , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7479841180629093  , 0.9845743605216272  , 0.7282905878555475   , 0.983890137981252   , 0.8544897258448804  , 0.9910306312404806  , 0.7576988411717215  , 0.9855650509661152  , 0.7378645890928625   , 0.9849449330048544  , 0.8684003505963995  , 0.9908629441624366  , 0.8805932921511489   , 0.9931365495840058 , 0.8706345562525601   , 0.9926327620738068 ,   0.917109864270286   , 0.9998292641283933  , 0.693883117152314   , 0.9771883988854819 , 0.6755066464205199   , 0.976460275028667  ,    0.7902430937107843  , 0.9910306312404806  , 0.7196664925335645  ,  0.9798443676207812 , 0.7043020660254415   , 0.9791852731158345  ,     0.8129038692942949  , 0.9908629441624366  , 0.8698162131051467   ,    0.9927930112762545 , 0.8547170904846438   ,    0.9922397048290796 ,       0.9182619667207735  , 0.9982952608250938  , 0.6574871857428736   , 0.9717489791962869 , 0.6579252119720709   , 0.9714298132785846  , 0.7864239817851872   , 1.0                 , 0.6577796606252564  , 0.9717970689948511 , 0.6582371460031866   , 0.9714752696752923  ,  0.7866129143327414   , 1.0                 , 0.8534513274063994  ,  0.9918322636801781 , 0.8391308671612674   ,  0.9912846092735138 ,    0.9166616927891604   , 0.9986357435197817
Exathlon_id_11  , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7574339430584566  , 0.9844635681946372  , 0.7511245264047182   , 0.9838194931172967  , 0.8531049333526183  , 1.0                 , 0.7676544866318528  , 0.9854933147507262  , 0.7606724651277867   , 0.9849080289714448  , 0.8691496661132753  , 1.0                 , 0.8918859448434746   , 0.9933989990142849 , 0.8844506195474766   , 0.9929150326647026 ,   0.9185793766556951  , 1.0                 , 0.6989075168251996  , 0.9764249425794419 , 0.6936860112605099   , 0.9757104468427699 ,    0.789597819128373   , 1.0                 , 0.7303146742936042  ,  0.9791729120467494 , 0.7248218485434788   , 0.9785388507770871  ,     0.8152799798731382  , 1.0                 , 0.8863489337446223   ,    0.9932944461643889 , 0.8780232389571572   ,    0.9927867472152313 ,       0.9186993752413035  , 1.0                 , 0.6766100169054788   , 0.9730686614646221 , 0.6768324160092153   , 0.9727949643003269  , 0.7860756092836769   , 1.0                 , 0.6768146657278109  , 0.973098095661524  , 0.6770406566625373   , 0.9728254247723475  ,  0.785748334635504    , 1.0                 , 0.8677629388524745  ,  0.9923009905013522 , 0.8593246431917614   ,  0.9917909453925106 ,    0.917533877375744    , 1.0
Exathlon_id_12  , Exathlon   ,       34708,         18,                    18,                  17,             27, 0.7580856021893426  , 0.9844426044683888  , 0.7520171899409733   , 0.9837925153635807  , 0.8526048138815662  , 1.0                 , 0.7674541240549827  , 0.985470436106023   , 0.761231005880019    , 0.9848773874406745  , 0.8711290835786262  , 1.0                 , 0.882284194989892    , 0.992981731316691  , 0.8750034635401267   , 0.9925035500295574 ,   0.9181782837146344  , 1.0                 , 0.6961477098477585  , 0.9758775848974001 , 0.6912782302570379   , 0.9751671747388195 ,    0.7895048300797791  , 1.0                 , 0.727549743575417   ,  0.9785301079938925 , 0.7223836619598702   , 0.9778981371142149  ,     0.8125564949240682  , 1.0                 , 0.8753866700160591   ,    0.9929131618130287 , 0.866184859193592    ,    0.9923751900264831 ,       0.9201858028451215  , 1.0                 , 0.8728332171916805   , 0.9925563947419425 , 0.8650397331909095   , 0.9920740360730376  , 0.9204639741578703   , 1.0                 , 0.8724843493285387  , 0.9924690047457674 , 0.86489820072848     , 0.9919887361008654  ,  0.9200711434714515   , 1.0                 , 0.8576488988220133  ,  0.9920914950049717 , 0.847803615766205    ,  0.9915909606781294 ,    0.917757662682507    , 0.99965858654831
Exathlon_id_1   , Exathlon   ,       32013,         18,                    18,                  18,             30, 0.8085143314984006  , 0.9801023098741736  , 0.8030959284145387   , 0.9796135379423125  , 0.9353261147370499  , 1.0                 , 0.8266934371936986  , 0.9826457701983785  , 0.821311930062498    , 0.9821794906985547  , 0.9441397857595492  , 1.0                 , 0.9293488628351556   , 0.9921283394408195 , 0.9260144934921057   , 0.9917334142366709 ,   0.9655490772842072  , 1.0                 , 0.7962434953053246  , 0.9773946293152193 , 0.7910083954307086   , 0.9768401757838674 ,    0.9133491004955921  , 1.0                 , 0.8365521583412268  ,  0.9838946948121249 , 0.8309126957963722   , 0.9834237622488062  ,     0.9457854965293749  , 1.0                 , 0.9124520736578626   ,    0.9907954369257245 , 0.90843616284012     ,    0.9903703648067304 ,       0.9622004301016014  , 1.0                 , 0.7826796103622969   , 0.973054961881418  , 0.781186667419527    , 0.9727564569878547  , 0.9072201390082677   , 1.0                 , 0.7829026588907607  , 0.9731131537129764 , 0.781292367776355    , 0.9727941827266768  ,  0.9089339156715115   , 1.0                 , 0.9070930148045501  ,  0.990415731801349  , 0.9024315611977336   ,  0.9899852678593528 ,    0.9590302963870886   , 0.9999080459770114
Exathlon_id_13  , Exathlon   ,       32013,         31,                    31,                  28,            125, 0.7448847186980835  , 0.9650543264497249  , 0.7120643603855018   , 0.9623380936756935  , 0.8090694182989276  , 0.9988976667279074  , 0.7991988024526736  , 0.977726461392269   , 0.7666097731216679   , 0.9754542101927949  , 0.9145525288174243  , 0.9988976667279074  , 0.899041458058964    , 0.9890655319251596 , 0.8772717192610244   , 0.9870649122550325 ,   0.9408017179283279  , 1.0                 , 0.7631051514177996  , 0.9759110740270873 , 0.739418209235291    , 0.9736712753437969 ,    0.8821098803188427  , 0.9912488605287146  , 0.775125331035947   ,  0.9765570584735581 , 0.7559301948117303   , 0.9743306062325618  ,     0.8833612001919487  , 0.9996322853465711  , 0.8986843529485693   ,    0.9899291423461528 , 0.8762540227185548   ,    0.9879418063156322 ,       0.9475767197183176  , 1.0                 , 0.746344090069216    , 0.959692020457906  , 0.7212179406383488   , 0.9568071306384343  , 0.7713354782952735   , 1.0                 , 0.8108392543842871  , 0.9749718883025122 , 0.7856245211270101   , 0.9725355183551774  ,  0.8508148786450181   , 1.0                 , 0.8801201254871771  ,  0.9858365719663795 , 0.8613276281489445   ,  0.9836853638874481 ,    0.9038016073261539   , 1.0
Exathlon_id_18  , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7574229848798119  , 0.9844078177647886  , 0.7509348097934225   , 0.9837582420072999  , 0.8514889502105697  , 1.0                 , 0.7677031646605286  , 0.9855074319835744  , 0.7607159940077265   , 0.9849076242518867  , 0.8668311263195404  , 1.0                 , 0.883182080043838    , 0.9929442753571119 , 0.8762768510626597   , 0.9924725463812876 ,   0.9176495243375069  , 1.0                 , 0.703875528602569   , 0.9770395562309512 , 0.6983551913244332   , 0.9763373574386006 ,    0.7908769922234545  , 1.0                 , 0.7299776554589005  ,  0.9797296952156987 , 0.7251642002814217   , 0.97910403098976    ,     0.8156139851203887  , 1.0                 , 0.8751032994331558   ,    0.9927977808554235 , 0.8671217445032305   ,    0.9922520274745791 ,       0.9184594922838957  , 1.0                 , 0.6773161921897872   , 0.9728347887930694 , 0.6772270499674298   , 0.9725409069228518  , 0.7855842094982038   , 1.0                 , 0.6776062490849585  , 0.9728722579278636 , 0.6773956426909187   , 0.9725656374179676  ,  0.7852146085784467   , 1.0                 , 0.8608008953741396  ,  0.9919669967866757 , 0.8495902786349556   ,  0.9914442604887548 ,    0.9162917917106429   , 0.9994879672299027
Exathlon_id_19  , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7637250898084044  , 0.9847022219750654  , 0.757946423008433    , 0.9840661696880898  , 0.853851456435637   , 1.0                 , 0.7750265544524696  , 0.9858099683765263  , 0.7684797252373804   , 0.9852109189587852  , 0.8687665863952668  , 1.0                 , 0.9059603646063412   , 0.9942280878933818 , 0.8990689606704354   , 0.9937718665717152 ,   0.9194804938213544  , 1.0                 , 0.7271555269677032  , 0.9795499620203253 , 0.7222470833226488   , 0.9788684948573352 ,    0.7965307963076924  , 1.0                 , 0.7524989551658353  ,  0.9823260220719219 , 0.747323500770521    , 0.9817116178029572  ,     0.8275417561608283  , 1.0                 , 0.9042357298576846   ,    0.99424938089474   , 0.8960204038929825   ,    0.9937239286050842 ,       0.920357446441372   , 1.0                 , 0.694193571946869    , 0.9738077509191224 , 0.6954791820698202   , 0.9735115096278097  , 0.7870972171437276   , 1.0                 , 0.6944794816815208  , 0.9738526305945694 , 0.6957380325961449   , 0.9735502562002609  ,  0.7871886649031096   , 1.0                 , 0.8813635353193409  ,  0.9930752957282737 , 0.8739214834072118   ,  0.9925718837318244 ,    0.9175452721621922   , 1.0
Exathlon_id_14  , Exathlon   ,       40180,         16,                    16,                  16,            125, 0.8335595161713278  , 0.985110663257223   , 0.7821208511766184   , 0.9809522668419006  , 0.8975544309226274  , 0.9630794701986755  , 0.8336794242417147  , 0.9851490023446037  , 0.782847226164294    , 0.9812314108446134  , 0.8974268037022931  , 0.9630794701986755  , 0.7699792255109396   , 0.9767346214379848 , 0.7241721745394253   , 0.9714498455911557 ,   0.8842804337591241  , 0.9898749255509232  , 0.8336562095673248  , 0.9851359481846506 , 0.7824178866692069   , 0.981019200080572  ,    0.8975544309226274  , 0.9630794701986755  , 0.833718126382871   ,  0.9851564912897358 , 0.7828626425495269   , 0.9812062866936513  ,     0.8975873173459479  , 0.9630794701986755  , 0.7633135307792647   ,    0.9765826201121035 , 0.7239122788056501   ,    0.97160926289343   ,       0.8866632647768864  , 0.9857651245551602  , 0.8553201828140805   , 0.9859486389779246 , 0.802085975287856    , 0.9795568494691753  , 0.9047837526860066   , 0.9892015985035286  , 0.8553533271034126  , 0.9862157517964123 , 0.8014819483895729   , 0.9798409796037442  ,  0.9077548973073223   , 0.9878576887152926  , 0.8072883466231494  ,  0.9788473524104385 , 0.7648128834847755   ,  0.9736128494354384 ,    0.8878404860363437   , 1.0
