pred_len,backbone,dataset_key,status,phase,train_sec,infer_sec,score_sec,metric_sec,elapsed_sec,error
192,iTransformer,CATSv2_id_1,ok,done,,,0.0,4.5,4.6,
192,iTransformer,CATSv2_id_2,ok,done,,,0.0,11.1,11.2,
192,iTransformer,CATSv2_id_3,ok,done,,,0.0,26.8,27.2,
192,iTransformer,CATSv2_id_4,ok,done,,,0.0,9.0,9.1,
192,iTransformer,CATSv2_id_5,ok,done,,,0.0,26.0,26.3,
192,iTransformer,CATSv2_id_6,ok,done,,,0.0,10.5,10.6,
192,iTransformer,CreditCard,ok,done,,,0.0,27.8,28.3,
192,iTransformer,Daphnet,ok,done,,,0.0,2.2,2.2,
192,iTransformer,Exathlon_id_1,ok,done,,,0.0,2.5,2.6,
192,iTransformer,Exathlon_id_10,ok,done,,,0.0,2.2,2.3,
192,iTransformer,Exathlon_id_11,ok,done,,,0.0,2.3,2.3,
192,iTransformer,Exathlon_id_12,ok,done,,,0.0,2.2,2.3,
192,iTransformer,Exathlon_id_13,ok,done,,,0.0,3.6,3.7,
192,iTransformer,Exathlon_id_14,ok,done,,,0.0,3.7,3.7,
192,iTransformer,Exathlon_id_15,ok,done,,,0.0,10.1,10.2,
192,iTransformer,Exathlon_id_16,ok,done,,,0.0,2.0,2.1,
192,iTransformer,Exathlon_id_17,ok,done,,,0.0,9.9,10.0,
192,iTransformer,Exathlon_id_18,ok,done,,,0.0,2.3,2.3,
192,iTransformer,Exathlon_id_19,ok,done,,,0.0,2.2,2.3,
192,iTransformer,Exathlon_id_2,ok,done,,,0.0,1.8,1.9,
192,iTransformer,Exathlon_id_20,ok,done,,,0.0,2.2,2.2,
192,iTransformer,Exathlon_id_21,ok,done,,,0.0,3.4,3.4,
192,iTransformer,Exathlon_id_22,ok,done,,,0.0,3.6,3.6,
192,iTransformer,Exathlon_id_23,ok,done,,,0.0,2.3,2.3,
192,iTransformer,Exathlon_id_24,ok,done,,,0.0,3.7,3.7,
192,iTransformer,Exathlon_id_25,ok,done,,,0.0,10.0,10.1,
192,iTransformer,Exathlon_id_26,ok,done,,,0.0,9.6,9.7,
192,iTransformer,Exathlon_id_27,ok,done,,,0.0,3.4,3.5,
192,iTransformer,Exathlon_id_3,ok,done,,,0.0,3.7,3.7,
192,iTransformer,Exathlon_id_4,ok,done,,,0.0,2.3,2.3,
192,iTransformer,Exathlon_id_5,ok,done,,,0.0,9.9,10.0,
192,iTransformer,Exathlon_id_6,ok,done,,,0.0,3.0,3.1,
192,iTransformer,Exathlon_id_7,ok,done,,,0.0,3.6,3.7,
192,iTransformer,Exathlon_id_8,ok,done,,,0.0,2.1,2.1,
192,iTransformer,Exathlon_id_9,ok,done,,,0.0,3.5,3.6,
192,iTransformer,GECCO,ok,done,,,0.0,8.6,8.6,
192,iTransformer,GHL_id_1,ok,done,,,0.0,8.5,8.7,
192,iTransformer,GHL_id_10,ok,done,,,0.0,10.8,10.9,
192,iTransformer,GHL_id_11,ok,done,,,0.0,10.4,10.6,
192,iTransformer,GHL_id_12,ok,done,,,0.0,8.4,8.5,
192,iTransformer,GHL_id_13,ok,done,,,0.0,8.6,8.7,
192,iTransformer,GHL_id_14,ok,done,,,0.0,8.9,9.0,
192,iTransformer,GHL_id_15,ok,done,,,0.0,8.1,8.3,
192,iTransformer,GHL_id_16,ok,done,,,0.0,10.2,10.4,
192,iTransformer,GHL_id_17,ok,done,,,0.0,9.0,9.2,
192,iTransformer,GHL_id_18,ok,done,,,0.0,11.4,11.6,
192,iTransformer,GHL_id_19,ok,done,,,0.0,7.6,7.7,
192,iTransformer,GHL_id_2,ok,done,,,0.0,8.4,8.5,
192,iTransformer,GHL_id_20,ok,done,,,0.0,8.9,9.0,
192,iTransformer,GHL_id_21,ok,done,,,0.0,9.2,9.4,
192,iTransformer,GHL_id_22,ok,done,,,0.0,13.7,13.8,
192,iTransformer,GHL_id_23,ok,done,,,0.0,11.9,12.0,
192,iTransformer,GHL_id_24,ok,done,,,0.0,8.6,8.7,
192,iTransformer,GHL_id_25,ok,done,,,0.0,9.0,9.1,
192,iTransformer,GHL_id_3,ok,done,,,0.0,9.5,9.6,
192,iTransformer,GHL_id_4,ok,done,,,0.0,9.6,9.7,
192,iTransformer,GHL_id_5,ok,done,,,0.0,9.4,9.5,
192,iTransformer,GHL_id_6,ok,done,,,0.0,8.5,8.6,
192,iTransformer,GHL_id_7,ok,done,,,0.0,8.4,8.5,
192,iTransformer,GHL_id_8,ok,done,,,0.0,7.9,8.1,
192,iTransformer,GHL_id_9,ok,done,,,0.0,9.7,9.9,
192,iTransformer,Genesis,ok,done,,,0.0,1.0,1.1,
192,iTransformer,LTDB_id_1,ok,done,,,0.0,17.0,17.0,
192,iTransformer,LTDB_id_2,ok,done,,,0.0,25.1,25.2,
192,iTransformer,LTDB_id_3,ok,done,,,0.0,34.5,34.5,
192,iTransformer,LTDB_id_4,ok,done,,,0.0,19.1,19.2,
192,iTransformer,LTDB_id_5,ok,done,,,0.0,3.7,3.7,
192,iTransformer,MITDB_id_1,ok,done,,,0.0,11.2,11.2,
192,iTransformer,MITDB_id_10,ok,done,,,0.0,6.8,6.9,
192,iTransformer,MITDB_id_11,ok,done,,,0.0,19.4,19.5,
192,iTransformer,MITDB_id_12,ok,done,,,0.0,61.8,61.9,
192,iTransformer,MITDB_id_13,ok,done,,,0.0,31.1,31.1,
192,iTransformer,MITDB_id_2,ok,done,,,0.0,24.0,24.1,
192,iTransformer,MITDB_id_3,ok,done,,,0.0,30.8,30.9,
192,iTransformer,MITDB_id_4,ok,done,,,0.0,16.8,16.9,
192,iTransformer,MITDB_id_5,ok,done,,,0.0,4.7,4.7,
192,iTransformer,MITDB_id_6,ok,done,,,0.0,6.8,6.8,
192,iTransformer,MITDB_id_7,ok,done,,,0.0,8.3,8.3,
192,iTransformer,MITDB_id_8,ok,done,,,0.0,18.7,18.7,
192,iTransformer,MITDB_id_9,ok,done,,,0.0,3.6,3.6,
192,iTransformer,MSL_id_1,ok,done,,,0.0,0.4,0.5,
192,iTransformer,MSL_id_10,ok,done,,,0.0,0.6,0.6,
192,iTransformer,MSL_id_11,ok,done,,,0.0,0.6,0.6,
192,iTransformer,MSL_id_12,ok,done,,,0.0,0.5,0.5,
192,iTransformer,MSL_id_13,ok,done,,,0.0,0.6,0.6,
192,iTransformer,MSL_id_14,ok,done,,,0.0,0.3,0.3,
192,iTransformer,MSL_id_15,ok,done,,,0.0,0.2,0.2,
