dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,PatchTST,46655,42582,0,0,2948,43707,0.2951842669492332,0.2234623473229209,0.1604322626337092,0.2265451753703031,0.26894233404891593,0.2154819578260077,0.15376581313173515,0.22357333647248756,31757,30801,10,0.9784819405676616,0.6259637581061228,0.9785742417906568,0.6304063296257365,0.7765638039648629,0.9986449864498644,,ok,
Exathlon_id_12,Exathlon,PatchTST,46660,42586,0,0,2928,43732,0.5369922787220088,0.275276282077994,0.3974407530982355,0.273968653702229,0.39972762931425376,0.26041619165936564,0.3207759369252974,0.26664287678966786,31780,30824,27,0.9815136978761348,0.7040294057167366,0.9819810900154308,0.7018595754964833,0.7851763751469533,1.0,,ok,
Exathlon_id_10,Exathlon,PatchTST,46660,42586,0,0,2928,43732,0.6330514634988412,0.2766843089644414,0.400942146342893,0.2716958895063267,0.4024412998428078,0.2594989672788064,0.33426732958824423,0.26467479340207106,31780,30824,27,0.9814982699829912,0.6754772709176108,0.982067122937062,0.6663718468249052,0.7872785967321154,0.9964267483409904,,ok,
Exathlon_id_11,Exathlon,PatchTST,46660,42586,0,0,2928,43732,0.9235338856986632,0.3026681741956289,0.4289413007114815,0.2750913157779365,0.41400820250239384,0.275459103474152,0.3464861675102545,0.2723777714360186,31780,30824,27,0.9836825449246503,0.708941114608102,0.9842623260404828,0.7054028600886562,0.7904242325119295,0.9993174061433449,,ok,
Daphnet,Daphnet,PatchTST,38774,35292,0,0,2306,36468,0.3714580075659369,0.158648606746588,0.2705268114594861,0.1262012471136954,0.35440242850525605,0.14082429298945165,0.22589343671625955,0.11444696370944729,26488,25099,58,0.9205546646605594,0.3358317734314049,0.9251621038323772,0.3006684457558369,0.4382074347443561,0.7097232079489,,ok,
Exathlon_id_1,Exathlon,PatchTST,43066,39262,0,0,5437,37629,0.7397849630855264,0.3279172946080568,0.7262069324289546,0.2594580308244398,0.5185241277377627,0.3117678270803973,0.4181213352490773,0.2519635595174239,26576,25907,30,0.9767020907339374,0.7352176693168966,0.9770799133058788,0.7223647375497081,0.8959263887831389,0.9914296134208608,,ok,
Exathlon_id_13,Exathlon,PatchTST,43066,39262,0,0,5437,37629,0.8971645755100278,0.3503400480542453,0.5837016708491043,0.3463827051861117,0.6945589416809557,0.34058148832270946,0.44022526484698893,0.34233891933348576,26576,25907,125,0.965023290880536,0.6876937579573926,0.9667226929840222,0.6717846411766195,0.8431707081398232,1.0,,ok,
Exathlon_id_14,Exathlon,PatchTST,46660,44228,0,0,5817,40843,1498.6366661901086,1.314219816589454,0.3353075602631488,0.3585238623675003,0.6340742630775075,0.33614492016749675,0.22701380198116655,0.3296571175240834,34550,32828,125,0.962691988787734,0.8047049941624221,0.9747118282505892,0.7446805855105854,0.8762937168293778,0.9622828784119106,,ok,
Exathlon_id_2,Exathlon,PatchTST,46656,42876,0,0,3787,42869,0.1088432486755277,0.1945755703037528,0.0856950759360386,0.2165801425180104,0.10549125706416286,0.19147611975841672,0.08198318398337406,0.21327776837479426,32085,31224,10,0.868521154002599,0.4806120610710878,0.8695363290147742,0.4697689935376544,0.5780136326318476,0.981978477894464,,ok,
Exathlon_id_18,Exathlon,PatchTST,46660,42586,0,0,2928,43732,0.6882827000309121,0.2824029786661645,0.4210113747134807,0.2792656381327768,0.40756668810688396,0.26283999661808405,0.3471295376273249,0.2719840152176131,31780,30824,27,0.9813875218419296,0.6781063577163157,0.9819333237399812,0.6799495898515426,0.7854379038914211,1.0,,ok,
