dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.614007,0.977276,0.621490,0.977190,0.769287,1.000000,0.439238,0.315137
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.191531,0.866469,0.177789,0.860442,0.309017,0.696217,0.304966,0.148712
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.813624,0.983611,0.805007,0.982954,0.930156,1.000000,0.922197,0.435222
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.894663,0.979297,0.833875,0.961978,0.898659,0.978552,1004.613855,1.221568
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.579614,0.938594,0.579138,0.937660,0.782633,0.998681,0.228104,0.326456
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.581578,0.948314,0.579112,0.947392,0.781311,1.000000,0.214442,0.323071
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.025055,0.432832,0.036738,0.435367,0.097968,0.260870,0.128184,0.158633
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.872213,0.976258,0.814817,0.959846,0.886678,0.981506,489.589154,0.858626
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.765417,0.984993,0.762726,0.984580,0.827403,1.000000,0.677691,0.341183
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.876427,0.991340,0.869973,0.989603,0.784636,1.000000,0.835577,0.452798
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.247758,0.738966,0.348781,0.782245,0.434057,0.743571,0.101628,0.097157
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.756841,0.968211,0.726413,0.958064,0.832646,0.678983,16375665932346.156250,533985.793147
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.614007,0.977276,0.621490,0.977190,0.769287,1.000000,0.439238,0.315137
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.756841,0.968211,0.726413,0.958064,0.832646,0.678983,16375665932346.156250,533985.793147
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.318021,0.751702,0.306854,0.700574,0.440935,0.605857,0.099771,0.101891
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.800992,0.987946,0.773452,0.986515,0.950008,0.974897,0.849872,0.406514
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.756841,0.968211,0.726413,0.958064,0.832646,0.678983,16375665932346.156250,533985.793147
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.756841,0.968211,0.726413,0.958064,0.832646,0.678983,16375665932346.156250,533985.793147
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.756841,0.968211,0.726413,0.958064,0.832646,0.678983,16375665932346.156250,533985.793147
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.159083,0.749284,0.339108,0.787917,0.408859,0.558272,0.293886,0.281389
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.025639,0.811441,0.024333,0.811203,0.054749,0.054698,0.040329,0.084394
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.005288,0.150360,0.005227,0.148278,0.011444,0.010455,0.048846,0.090400
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.013842,0.319964,0.012887,0.318802,0.026106,0.026034,0.041192,0.082026
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.076605,0.775092,0.072308,0.774242,0.134863,0.134578,0.041864,0.088429
137_CreditCard_id_1_Finance_tr_500_1st_541,0.060993,0.845924,0.004211,0.604665,0.035619,0.047861,1.657877,0.828904
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.009098,0.331331,0.008609,0.328587,0.018243,0.018211,0.039231,0.084260
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.025837,0.747558,0.021414,0.753568,0.053034,0.053003,0.036128,0.073253
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.011216,0.220033,0.010985,0.217014,0.023045,0.018580,0.040745,0.081775
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.033777,0.733153,0.031938,0.732433,0.061899,0.061780,0.040790,0.078923
