dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,TTM,46655,42582,0,0,2948,43707,0.43923836072962913,0.31513696539057945,0.3539675196095791,0.3066858377865129,0.41667873695331786,0.3078147058602747,0.30753190157968446,0.2872655257477038,31757,30801,10,0.9771903280072844,0.6140069674724824,0.9772762877981817,0.6214895899108871,0.7692873059061236,1.0,,ok,
Daphnet,Daphnet,TTM,38774,35292,0,0,2306,36468,0.3049657511952222,0.1487124841545641,0.17724768887122713,0.12681516534998857,0.2920941513585391,0.1340101982403933,0.153163586415137,0.1121045506321585,26488,25099,58,0.8604417388443822,0.19153100590454183,0.8664691638784281,0.17778879099532183,0.30901701244540625,0.696217219772569,,ok,
Exathlon_id_12,Exathlon,TTM,46660,42586,0,0,2928,43732,0.6776908321999887,0.3411832869561857,0.520574574819422,0.29563368607091023,0.5340891018301577,0.3257538483015907,0.41965337514908063,0.27795807910478376,31780,30824,27,0.984579650943976,0.7654174112067532,0.9849925079854243,0.7627256142475962,0.82740338579166,1.0,,ok,
Exathlon_id_10,Exathlon,TTM,46660,42586,0,0,2928,43732,0.6776908321999887,0.3411832869561857,0.520574574819422,0.29563368607091023,0.5340891018301577,0.3257538483015907,0.41965337514908063,0.27795807910478376,31780,30824,27,0.984579650943976,0.7654174112067532,0.9849925079854243,0.7627256142475962,0.82740338579166,1.0,,ok,
Exathlon_id_11,Exathlon,TTM,46660,42586,0,0,2928,43732,0.6776908321999887,0.3411832869561857,0.520574574819422,0.29563368607091023,0.5340891018301577,0.3257538483015907,0.41965337514908063,0.27795807910478376,31780,30824,27,0.984579650943976,0.7654174112067532,0.9849925079854243,0.7627256142475962,0.82740338579166,1.0,,ok,
Exathlon_id_1,Exathlon,TTM,43066,39262,0,0,5437,37629,0.9221965054351722,0.4352217687147892,0.7426437265947629,0.43737832469646687,0.7288633337846635,0.419347921431396,0.4624131768885573,0.41570211979166505,26576,25907,30,0.982954180504235,0.81362382541432,0.9836114671301499,0.8050066070552467,0.9301559278568633,1.0,,ok,
Exathlon_id_13,Exathlon,TTM,43066,39262,0,0,5437,37629,0.8498716954686271,0.40651436369670024,0.8624838746893891,0.4363248421744868,0.7179284966151531,0.3947210677984184,0.5469632037086495,0.43408615811363194,26576,25907,125,0.9865146600616936,0.8009923224791563,0.9879462159612694,0.7734516069354944,0.950008142977017,0.9748968979738211,,ok,
Exathlon_id_14,Exathlon,TTM,46660,44228,0,0,5817,40843,1004.6138549856805,1.2215682423520589,0.3780442353725252,0.38181858398918744,0.7494963951058332,0.3765275190077323,0.2897376781875236,0.3184451555129547,34550,32828,125,0.961977987878303,0.894663433892181,0.9792972079093776,0.8338748184456297,0.8986594449330263,0.9785516023214736,,ok,
Exathlon_id_2,Exathlon,TTM,46656,42876,0,0,3787,42869,0.22810427048331544,0.3264556942644419,0.22258483613446647,0.26771004136681736,0.22173439744872422,0.3218635041951718,0.21806486903432787,0.2637042092039011,32085,31224,10,0.9376603557427363,0.5796139334038967,0.938594326426811,0.5791378135505306,0.7826325723954042,0.9986814345991561,,ok,
Exathlon_id_18,Exathlon,TTM,46660,42586,0,0,2928,43732,0.6776908321999887,0.3411832869561857,0.520574574819422,0.29563368607091023,0.5340891018301577,0.3257538483015907,0.41965337514908063,0.27795807910478376,31780,30824,27,0.984579650943976,0.7654174112067532,0.9849925079854243,0.7627256142475962,0.82740338579166,1.0,,ok,
