dataset                                             , VUS-PR  , VUS-ROC , AUC-PR  , AUC-ROC , Standard-F1, PA-F1   , MSE                  , MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482      , 0.586710, 0.976618, 0.595863, 0.976509,    0.776083, 0.983814,              0.301146,      0.236848
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732    , 0.256889, 0.892692, 0.236919, 0.891251,    0.366245, 0.693642,              0.328126,      0.135057
183_Exathlon_id_10_Facility_tr_11665_1st_13484      , 0.729094, 0.985183, 0.705860, 0.984685,    0.803487, 0.989022,              0.463601,      0.271391
184_Exathlon_id_11_Facility_tr_11665_1st_13484      , 0.747215, 0.985670, 0.725299, 0.985152,    0.795229, 0.993721,              0.572463,      0.274836
185_Exathlon_id_12_Facility_tr_11665_1st_13484      , 0.699915, 0.984803, 0.678051, 0.984278,    0.801835, 0.984367,              0.481275,      0.267112
174_Exathlon_id_1_Facility_tr_10766_1st_12590       , 0.776996, 0.982454, 0.763154, 0.982071,    0.916022, 0.993422,              0.867907,      0.327969
186_Exathlon_id_13_Facility_tr_10766_1st_12590      , 0.891593, 0.992888, 0.862526, 0.991391,    0.942086, 0.997340,              0.690883,      0.311191
187_Exathlon_id_14_Facility_tr_6193_1st_6293        , 0.816820, 0.978139, 0.768770, 0.968087,    0.878681, 0.970632,            364.906717,      0.853397
175_Exathlon_id_2_Facility_tr_10684_1st_10784       , 0.623973, 0.937838, 0.626587, 0.936831,    0.691733, 1.000000,              0.101795,      0.169929
192_Exathlon_id_19_Facility_tr_11665_1st_13484      , 0.719402, 0.983922, 0.699889, 0.983471,    0.789806, 0.992206,              0.710871,      0.282236
191_Exathlon_id_18_Facility_tr_11665_1st_13484      , 0.744751, 0.984628, 0.727753, 0.984126,    0.787305, 0.997275,              0.508487,      0.273064
193_Exathlon_id_20_Facility_tr_8898_1st_8998        , 0.436877, 0.855520, 0.436949, 0.854207,    0.533043, 1.000000,              0.069449,      0.128807
138_CATSv2_id_1_Sensor_tr_16568_1st_16668           , 0.131058, 0.803017, 0.144012, 0.795904,    0.335527, 0.254022,              0.105129,      0.077094
196_Exathlon_id_23_Facility_tr_11665_1st_13484      , 0.767139, 0.986624, 0.748704, 0.986126,    0.799333, 0.992374,              0.468637,      0.270359
194_Exathlon_id_21_Facility_tr_6985_1st_7085        , 0.754085, 0.978932, 0.708676, 0.973372,    0.875279, 0.945207,            538.604399,      0.936798
195_Exathlon_id_22_Facility_tr_10766_1st_12590      , 0.843769, 0.989511, 0.813557, 0.987961,    0.934357, 0.995332,              0.759518,      0.320272
197_Exathlon_id_24_Facility_tr_10766_1st_12590      , 0.841755, 0.989530, 0.811633, 0.987963,    0.940308, 0.992153,              1.312350,      0.324743
177_Exathlon_id_4_Facility_tr_11665_1st_13484       , 0.702992, 0.983851, 0.681802, 0.983421,    0.787454, 0.984202,              0.495954,      0.273549
200_Exathlon_id_27_Facility_tr_10766_1st_12590      , 0.844448, 0.990302, 0.814947, 0.988744,    0.940614, 0.997706,              0.866169,      0.320714
176_Exathlon_id_3_Facility_tr_10766_1st_12590       , 0.835873, 0.990302, 0.806437, 0.988825,    0.943388, 0.984875,              1.078078,      0.323896
188_Exathlon_id_15_Facility_tr_12538_1st_12638      , 0.739337, 0.970082, 0.706824, 0.960847,    0.773510, 0.849770, 21467663399313.671875, 523024.820825
141_CATSv2_id_4_Sensor_tr_41727_1st_41827           , 0.124572, 0.632339, 0.220606, 0.675134,    0.353177, 0.417482,              0.085596,      0.063178
179_Exathlon_id_6_Facility_tr_11665_1st_13484       , 0.779556, 0.986264, 0.772299, 0.984301,    0.770759, 1.000000,              0.719892,      0.332320
181_Exathlon_id_8_Facility_tr_11663_1st_13482       , 0.571075, 0.976348, 0.572016, 0.976425,    0.774009, 0.950201,              0.290022,      0.216077
143_CATSv2_id_6_Sensor_tr_50000_1st_60232           , 0.204682, 0.775854, 0.263108, 0.774257,    0.393924, 0.591036,              0.080357,      0.055878
190_Exathlon_id_17_Facility_tr_12538_1st_12638      , 0.753901, 0.973676, 0.722088, 0.964566,    0.838148, 0.924337, 19971444176394.531250, 495567.707885
180_Exathlon_id_7_Facility_tr_10766_1st_12590       , 0.864359, 0.991311, 0.829795, 0.989730,    0.943328, 0.992606,              0.698296,      0.315518
182_Exathlon_id_9_Facility_tr_10766_1st_12590       , 0.858256, 0.991136, 0.828441, 0.989629,    0.936333, 0.993150,              0.842963,      0.312784
139_CATSv2_id_2_Sensor_tr_5592_1st_5692             , 0.050118, 0.539246, 0.103987, 0.585243,    0.119925, 0.263158,              0.083878,      0.102251
198_Exathlon_id_25_Facility_tr_12538_1st_12638      , 0.761928, 0.972121, 0.730335, 0.962913,    0.773649, 0.670543, 20441322248203.652344, 518128.640291
199_Exathlon_id_26_Facility_tr_12538_1st_12638      , 0.756342, 0.973634, 0.722638, 0.965776,    0.816148, 0.849386, 22232894843955.394531, 506412.414045
178_Exathlon_id_5_Facility_tr_12538_1st_12638       , 0.731145, 0.969669, 0.700398, 0.960322,    0.770881, 0.678598, 17574741034693.580078, 465703.954691
173_GECCO_id_1_Sensor_tr_16165_1st_16265            , 0.254611, 0.937718, 0.412575, 0.906269,    0.437424, 0.568229,              0.198853,      0.192164
043_GHL_id_12_Sensor_tr_39938_1st_40038             , 0.006218, 0.328021, 0.006105, 0.308388,    0.014005, 0.010455,              0.013587,      0.017871
032_GHL_id_1_Sensor_tr_50000_1st_65001              , 0.010375, 0.174220, 0.009890, 0.144231,    0.027593, 0.437137,              0.012520,      0.014252
044_GHL_id_13_Sensor_tr_50000_1st_145001            , 0.010795, 0.190165, 0.010390, 0.162537,    0.021955, 0.363431,              0.014004,      0.017037
042_GHL_id_11_Sensor_tr_50000_1st_150001            , 0.009137, 0.389120, 0.008640, 0.367645,    0.018683, 0.142434,              0.012871,      0.017520
046_GHL_id_15_Sensor_tr_50000_1st_156462            , 0.009090, 0.459751, 0.007975, 0.436814,    0.019635, 0.549324,              0.012649,      0.017101
041_GHL_id_10_Sensor_tr_50000_1st_57001             , 0.013134, 0.352180, 0.023262, 0.338162,    0.045857, 0.244802,              0.012990,      0.017897
045_GHL_id_14_Sensor_tr_50000_1st_85076             , 0.010117, 0.256698, 0.009715, 0.217640,    0.020689, 0.090132,              0.012174,      0.016246
