dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.528700,0.970535,0.538769,0.970446,0.753310,0.993094,0.293826,0.209464
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.186751,0.856087,0.166397,0.855314,0.324943,0.478044,0.305932,0.126146
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.710281,0.984183,0.691662,0.983706,0.786751,0.990360,0.467053,0.266820
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.739869,0.984731,0.722105,0.984279,0.783216,0.994903,0.511916,0.266025
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.722122,0.984760,0.700143,0.984232,0.790085,0.987521,0.474627,0.270686
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.764130,0.980639,0.750536,0.980266,0.900211,0.990436,0.728281,0.312391
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.829137,0.989158,0.797629,0.987534,0.910763,0.979287,0.644352,0.302631
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.789973,0.974546,0.744152,0.963087,0.877140,0.960773,7287.397427,2.641754
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.691431,0.982786,0.671061,0.982352,0.786381,0.985693,0.583187,0.303094
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.645675,0.935378,0.645094,0.934456,0.722598,0.998023,0.094367,0.160859
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.535623,0.904231,0.538268,0.902975,0.646550,0.995268,0.065408,0.123757
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.292215,0.798575,0.258777,0.775666,0.453140,0.730542,0.103621,0.084715
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.723639,0.985777,0.718705,0.985307,0.781595,1.000000,0.688116,0.272194
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.776381,0.975589,0.728110,0.966448,0.872881,0.951224,3217.218371,2.011489
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.720005,0.985894,0.706077,0.985498,0.777573,0.983210,0.996600,0.280958
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.676086,0.967279,0.646124,0.965508,0.842429,0.987468,0.624325,0.310866
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.705066,0.970885,0.683952,0.969158,0.846276,1.000000,0.751015,0.318554
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.726965,0.983936,0.721940,0.983440,0.787824,0.999829,0.549544,0.262591
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.672403,0.966447,0.643801,0.964689,0.843543,0.987558,0.651348,0.308114
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.780786,0.982210,0.751425,0.980547,0.869778,0.980700,0.702502,0.312456
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.426497,0.848030,0.449289,0.828900,0.571935,0.569115,0.089242,0.079312
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.598202,0.975165,0.585052,0.975077,0.771981,0.990924,0.303397,0.217991
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.780059,0.988502,0.740629,0.985597,0.784885,0.992542,0.619393,0.322845
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.380886,0.663163,0.474643,0.763036,0.620000,0.749797,19618769113301.339844,496886.923162
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.709480,0.972564,0.676204,0.970786,0.858599,0.990797,0.681954,0.307751
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.142447,0.685447,0.228254,0.691527,0.257844,0.632385,0.083086,0.104245
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.404863,0.847418,0.370743,0.805459,0.488420,0.585556,0.081861,0.062515
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.413507,0.666113,0.522682,0.767713,0.644128,0.773037,20993529342641.257812,499335.213861
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.784069,0.981433,0.750031,0.979715,0.865544,0.990617,0.732139,0.314528
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.365077,0.662046,0.451372,0.761388,0.610583,0.751219,25366835153721.371094,535302.521209
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.392021,0.664558,0.488314,0.765476,0.644380,0.748236,24322167852891.691406,534110.182792
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.389842,0.663889,0.480790,0.763543,0.610699,0.772755,21999410692438.042969,519925.701617
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.243573,0.927513,0.420876,0.905055,0.462536,0.558956,0.192077,0.177401
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.009793,0.537623,0.008772,0.512256,0.026300,0.357595,0.014439,0.022091
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.004075,0.321075,0.003629,0.302099,0.013332,0.010455,0.014727,0.022739
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.009024,0.359148,0.009889,0.340551,0.039930,0.234708,0.015587,0.024895
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.006203,0.299286,0.005416,0.258188,0.018643,0.080274,0.012268,0.017529
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.005801,0.179137,0.005196,0.148649,0.018467,0.307398,0.017069,0.028340
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.008293,0.593384,0.006979,0.576039,0.022990,0.534628,0.014139,0.021630
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.005413,0.317478,0.004869,0.284054,0.015394,0.142629,0.015785,0.027908
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.011481,0.175315,0.009841,0.138578,0.036187,0.298989,0.017232,0.028034
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.007166,0.463904,0.005533,0.440062,0.019657,0.012820,0.013087,0.017608
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.012435,0.286062,0.011150,0.257607,0.044158,0.683646,0.015393,0.026654
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.006921,0.370509,0.006282,0.335784,0.020969,0.018405,0.013741,0.019958
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.004204,0.300838,0.003710,0.272035,0.013073,0.042568,0.013845,0.023866
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.020175,0.326759,0.018940,0.304263,0.058371,0.533283,0.014219,0.024149
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.615482,0.994190,0.156760,0.937504,0.310806,0.611765,0.283463,0.176827
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.004333,0.373631,0.003599,0.357588,0.013812,0.009663,0.015081,0.022585
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004253,0.431221,0.003817,0.402368,0.012056,0.078862,0.012776,0.016714
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006826,0.318895,0.006253,0.289696,0.021584,0.060862,0.015815,0.025945
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.013014,0.410055,0.011840,0.385117,0.040159,0.426395,0.014316,0.023178
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.011372,0.393016,0.009955,0.363847,0.035980,0.404280,0.013884,0.018588
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.031256,0.517036,0.029146,0.497045,0.079926,0.588162,0.014666,0.023458
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.006674,0.261880,0.005767,0.234812,0.021474,0.065703,0.016892,0.027108
137_CreditCard_id_1_Finance_tr_500_1st_541,0.037831,0.686957,0.004599,0.615543,0.029408,0.031153,1.347588,0.746471
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.007703,0.458998,0.006790,0.436208,0.020825,0.066661,0.014287,0.019257
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.009831,0.446946,0.008954,0.421352,0.027748,0.251312,0.014583,0.025656
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.014257,0.368127,0.013176,0.347605,0.043419,0.360834,0.012645,0.018878
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.003887,0.264790,0.003519,0.234677,0.012864,0.011612,0.013521,0.020289
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.444802,0.765907,0.444395,0.731260,0.484497,0.606330,0.090305,0.071082
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.008565,0.350703,0.007945,0.325600,0.025672,0.228105,0.015450,0.026156
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.005746,0.497530,0.005484,0.551979,0.012165,0.069005,0.167185,0.241558
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.413959,0.773574,0.423017,0.759870,0.475414,0.488587,0.084884,0.069905
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.040472,0.801916,0.127164,0.738718,0.223115,0.666667,0.031693,0.115592
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.056092,0.898448,0.100006,0.819698,0.135947,1.000000,0.024924,0.103633
002_MSL_id_1_Sensor_tr_500_1st_900,0.023606,0.818976,0.007994,0.585202,0.020895,0.165414,0.184120,0.087431
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.230979,0.930291,0.135266,0.872131,0.386809,0.602299,390.682758,0.624828
012_MSL_id_11_Sensor_tr_539_1st_940,0.419894,0.957558,0.283877,0.906280,0.403157,0.966507,0.147787,0.056119
013_MSL_id_12_Sensor_tr_554_1st_1200,0.033586,0.794388,0.021549,0.744771,0.063725,0.172185,0.160497,0.040540
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.370719,0.921606,0.210058,0.861059,0.490114,0.837963,134.167007,0.417844
015_MSL_id_14_Sensor_tr_575_1st_1250,0.233244,0.759550,0.223420,0.749163,0.433360,0.901198,0.218937,0.070458
016_MSL_id_15_Sensor_tr_500_1st_780,0.274409,0.815566,0.229918,0.830806,0.498808,0.534653,3173.968558,6.935352
017_MSL_id_16_Sensor_tr_512_1st_1850,0.348425,0.739463,0.238522,0.648334,0.313721,1.000000,0.195266,0.066646
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.208347,0.916645,0.568536,0.891148,0.637677,1.000000,0.035946,0.131173
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.142959,0.820667,0.210553,0.779518,0.265271,1.000000,0.042815,0.114088
003_MSL_id_2_Sensor_tr_883_1st_1238,0.113475,0.529511,0.120894,0.571568,0.250609,0.583106,0.138066,0.031920
004_MSL_id_3_Sensor_tr_530_1st_630,0.121499,0.476764,0.084379,0.467518,0.155626,0.154042,0.150494,0.026133
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.152462,0.495042,0.146656,0.484020,0.224372,0.934807,0.230727,0.044576
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.750755,0.956601,0.673349,0.907586,0.720772,0.996226,0.029732,0.110945
005_MSL_id_4_Sensor_tr_855_1st_2700,0.053088,0.796284,0.035837,0.731898,0.097275,0.654378,0.117732,0.039022
007_MSL_id_6_Sensor_tr_980_1st_3550,0.692727,0.904221,0.578901,0.732216,0.584265,1.000000,0.111724,0.032936
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.656296,0.940004,0.466787,0.878803,0.580730,0.816249,1.085944,0.508103
008_MSL_id_7_Sensor_tr_656_1st_1630,0.469937,0.909278,0.277547,0.883923,0.479163,0.911565,0.403447,0.086113
009_MSL_id_8_Sensor_tr_714_1st_1390,0.189848,0.866913,0.008169,0.473654,0.026489,0.185841,0.177810,0.030386
010_MSL_id_9_Sensor_tr_554_1st_1172,0.082251,0.816333,0.060639,0.774161,0.153309,0.641860,0.185411,0.057759
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.086946,0.435321,0.082767,0.427862,0.197900,0.166607,6652591.227386,52.853631
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.787271,0.981213,0.746293,0.976312,0.682434,1.000000,14.708814,0.453360
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.047292,0.432907,0.041263,0.390753,0.111430,0.462025,10177710.044688,79.477149
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.009049,0.332737,0.008309,0.324163,0.026007,0.023244,3.152359,0.403688
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016603,0.210980,0.015067,0.176315,0.043502,0.042089,34315823.659458,168.150900
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.019419,0.212014,0.018279,0.230887,0.058919,0.198711,13010556.098405,99.883513
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.129663,0.945699,0.045203,0.807394,0.185301,0.394231,0.585982,0.162776
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.917149,0.983238,0.913715,0.980988,0.890942,1.000000,0.496692,0.120120
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.059516,0.749924,0.055449,0.737951,0.165601,0.728571,1.664377,0.198771
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.236741,0.933849,0.137357,0.881122,0.279274,0.916667,0.612462,0.166818
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.152816,0.952780,0.074788,0.870695,0.237958,0.345763,25617.467105,6.168919
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.015079,0.126117,0.013744,0.135266,0.046195,0.045301,6957237.694591,52.133319
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.025186,0.229077,0.022350,0.180701,0.073192,0.072637,8221677.668939,58.404777
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.067571,0.597188,0.059278,0.663728,0.152970,0.898839,0.304300,0.114411
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.340056,0.986515,0.334306,0.964239,0.346818,1.000000,3.257783,0.151347
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.084560,0.662523,0.072758,0.640600,0.232873,0.456948,0.052846,0.014902
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.854738,0.940091,0.835261,0.924537,0.896547,1.000000,0.302725,0.116266
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.777022,0.940278,0.744092,0.924028,0.734903,1.000000,0.299316,0.129326
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.081388,0.888367,0.054665,0.636130,0.177773,0.911765,0.059323,0.018157
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.744505,0.893354,0.720217,0.879035,0.730933,1.000000,0.263701,0.091210
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.300375,0.920597,0.241284,0.900465,0.359111,0.966234,0.665427,0.170348
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.062939,0.780066,0.048440,0.766656,0.183842,0.242604,1110.842199,1.279092
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.007402,0.472266,0.004744,0.362179,0.014145,0.086367,0.529835,0.151362
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.554695,0.867738,0.640815,0.849865,0.723613,0.968528,0.278437,0.113602
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.177165,0.965469,0.041358,0.899861,0.160276,0.338843,0.253193,0.087207
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.073298,0.710871,0.045141,0.624972,0.161884,0.415638,0.010160,0.008976
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.015994,0.523176,0.008972,0.377001,0.025833,0.022116,0.000001,0.000448
