dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,TimeXer,46655,42582,0,0,2948,43707,0.29382562643628873,0.20946385331359815,0.1392905454743154,0.19597226827156616,0.26315662182625393,0.20356714307739537,0.13347457803648888,0.19320079318898548,31757,30801,10,0.9704461534110564,0.5287001567883022,0.9705349305733761,0.5387687041102525,0.7533095439418535,0.9930941552972882,,ok,
Daphnet,Daphnet,TimeXer,38774,35292,0,0,2306,36468,0.30593242762666295,0.12614566429192867,0.21973582517720577,0.09444613392674882,0.29534911560661914,0.11263232549924357,0.19019622671424513,0.08516080791996046,26488,25099,58,0.8553135869525406,0.18675051911155202,0.8560865235004481,0.1663965083711918,0.3249433794427027,0.4780443639655953,,ok,
Exathlon_id_11,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.4670530222248103,0.26682015179994856,0.3677183924002455,0.26289095821281383,0.39634264845753514,0.2557711319584802,0.3189864273293612,0.2553743751231788,31780,30824,27,0.9837056301446615,0.7102814654846583,0.984183202707432,0.6916624457598408,0.7867508929788735,0.9903602232369355,,ok,
Exathlon_id_10,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.5119162352578858,0.26602472752246764,0.3678433205400222,0.26321410073230717,0.3927328514660005,0.2526361635136171,0.3173891813351334,0.2535445994129571,31780,30824,27,0.9842785044051222,0.7398687502189196,0.9847309437686654,0.7221048520525073,0.7832157838075479,0.9949031600407747,,ok,
Exathlon_id_12,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.47462661656455196,0.2706855398607979,0.3883702216867044,0.2805849927303208,0.4082151841056555,0.2595246806941768,0.33061350529254485,0.27174161617885995,31780,30824,27,0.9842315764325081,0.7221216638072022,0.9847600555454845,0.7001428877321301,0.7900850505456276,0.9875210792580101,,ok,
Exathlon_id_1,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.7282808383979202,0.3123909406102499,0.6395999425169727,0.23700548221124848,0.518695261759904,0.2957526204866879,0.39636979801232913,0.23605567750262124,26576,25907,30,0.9802656814087831,0.7641295658716176,0.9806394739957697,0.7505357065029024,0.9002112441453837,0.9904362874578742,,ok,
Exathlon_id_13,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.6443521497310462,0.30263050759548454,0.505956196305145,0.24245053759110777,0.5270735401496842,0.2912116879784507,0.3885044810675786,0.23974462721325848,26576,25907,125,0.9875340483448481,0.8291371007518815,0.9891577947619583,0.7976293805561718,0.9107626799099506,0.9792867435158501,,ok,
Exathlon_id_14,Exathlon,TimeXer,46660,44228,0,0,5817,40843,7287.39742708723,2.6417543399011914,0.49456696640819586,0.3565015379209834,0.6294462505239905,0.34790086236066475,0.23143440621375416,0.33782184816460903,34550,32828,125,0.9630868685196294,0.7899730164345261,0.9745463546768278,0.7441522211523961,0.8771397241253993,0.9607729787761169,,ok,
Exathlon_id_18,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.5831866946447758,0.3030942080347789,0.4054672726126587,0.2843980930136037,0.4200434167901176,0.2828662480917397,0.3398104487967082,0.27301407494102553,31780,30824,27,0.9823521068340249,0.6914313258161304,0.9827860836877947,0.6710611030158818,0.7863805016319945,0.9856926443359704,,ok,
Exathlon_id_2,Exathlon,TimeXer,46656,42876,0,0,3787,42869,0.09436696481281819,0.16085859978588002,0.06339419890940044,0.14852749595644987,0.08938058597328974,0.15662619630446514,0.05674151432712769,0.14302200222188347,32085,31224,10,0.934455764835438,0.6456753209121767,0.935378174061234,0.6450938695263526,0.7225982948360936,0.9980234550006588,,ok,
Exathlon_id_20,Exathlon,TimeXer,46650,43406,0,0,3891,42759,0.065407645901502,0.12375744613079058,0.05250630015223731,0.11107367409082822,0.05240223954027656,0.11928095321344535,0.028217225309118393,0.10532295668594187,33761,32613,10,0.9029747113436674,0.5356234783049865,0.9042306464299436,0.5382684976452483,0.6465500302156288,0.9952679370763525,,ok,
CATSv2_id_1,CATSv2,TimeXer,100000,94455,0,0,2000,98000,0.10362080095498001,0.08471471449449376,0.007586655065272218,0.05243266687587451,0.09818613241899207,0.08386158280320918,0.005880924660659197,0.05187689057396487,81332,80471,97,0.7756661071428572,0.2922147325700947,0.7985752456323066,0.2587770540782844,0.4531395379385054,0.7305422871593145,,ok,
Exathlon_id_19,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.688116249697283,0.27219427925122064,0.3682085738618131,0.2534219823875034,0.38783722352622424,0.2518180339167415,0.30499044940235964,0.24090279735004239,31780,30824,27,0.985306608895513,0.7236386104923085,0.9857770311306148,0.7187052754140097,0.7815948509898106,1.0,,ok,
Exathlon_id_21,Exathlon,TimeXer,46649,43979,0,0,4856,41793,3217.218370940553,2.0114892729093232,0.25389648971758433,0.31330357447658985,0.22873517779274197,0.2775873390598941,0.16106533232010598,0.27745780353267274,34708,33273,125,0.9664482798862252,0.7763814070880258,0.9755885416167099,0.7281095026874779,0.872881216515335,0.9512242899118512,,ok,
Exathlon_id_23,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.9966004892321078,0.2809583132977695,0.36941092129244035,0.27337503240017824,0.39643449867197544,0.25907830362631173,0.32334021640481664,0.2648736938170026,31780,30824,27,0.9854981631162285,0.7200054638967053,0.9858944164232512,0.7060769827343247,0.7775725310788555,0.9832102081934184,,ok,
Exathlon_id_22,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.6243247925039812,0.3108659605038801,0.5454730659745674,0.26405902822044386,0.5447230615692422,0.3009849349861528,0.3848837711435783,0.2624561480726991,26576,25907,125,0.9655077331600529,0.6760861595565085,0.9672786425822589,0.6461235432851802,0.842428812583419,0.9874682164911006,,ok,
Exathlon_id_24,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.7510148044555557,0.31855433212494083,0.5529302069216004,0.2505693034883853,0.5704463696850997,0.3043532603897715,0.39913498212524595,0.2426612216523411,26576,25907,125,0.9691577508225484,0.7050661497354294,0.9708847041918688,0.683951835072261,0.8462760956116765,1.0,,ok,
Exathlon_id_4,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.549543785000726,0.26259063507271097,0.3592048773954871,0.24724239443681195,0.3898709837319768,0.2478849475834274,0.3054893406301915,0.23988075242502854,31780,30824,27,0.9834398455395731,0.7269649565312338,0.9839360562406144,0.721940058559605,0.7878243737821702,0.9998292641283933,,ok,
Exathlon_id_3,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.6513482410374098,0.3081139766222188,0.541839841424107,0.2498921397101074,0.5320721963554325,0.29637490895979524,0.39653420842026416,0.24085979862652407,26576,25907,125,0.9646894433012494,0.6724032977536696,0.9664474893786064,0.6438005114955789,0.8435431276302605,0.9875578966488058,,ok,
Exathlon_id_27,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.7025019451320758,0.31245606100326534,0.5435429407902672,0.2474360044820665,0.5540309403451802,0.29929867608384714,0.39774869359528264,0.24578301677788258,26576,25907,125,0.980547001693489,0.7807857139595382,0.9822095775759733,0.7514246624048273,0.8697779114689785,0.9806998556998557,,ok,
CATSv2_id_4,CATSv2,TimeXer,195000,181907,0,0,5900,189100,0.08924168079699465,0.07931159832482679,0.005141238487999691,0.048710649424975896,0.08782903486631727,0.07865970598259077,0.0043075747615472434,0.047655818017171364,147273,144116,73,0.8288995912843173,0.42649670891494734,0.8480302660820745,0.4492891130743107,0.5719350925553065,0.5691145890335997,,ok,
Exathlon_id_8,Exathlon,TimeXer,46655,42582,0,0,2948,43707,0.3033967778889815,0.21799106136690852,0.14258624427488695,0.19883002247666787,0.26461859505322716,0.20858701925770193,0.13342230728143317,0.1959845968236959,31757,30801,10,0.9750771364848178,0.5982019222907876,0.9751652662762347,0.5850520602185758,0.7719809119968813,0.9909243697478992,,ok,
Exathlon_id_6,Exathlon,TimeXer,46660,42586,0,0,2928,43732,0.6193929877816813,0.3228452206482776,0.4952128834071676,0.3806409143634471,0.4857179254268874,0.3131941825739192,0.454757288737697,0.37796793065028,31780,30824,125,0.9855968922608095,0.7800587935478496,0.9885015163077505,0.7406294734357581,0.7848851810514051,0.9925423728813559,,ok,
Exathlon_id_15,Exathlon,TimeXer,129197,124861,0,0,16105,113092,19618769113301.34,496886.923162081,0.7259255525759787,0.3047215777240862,16503884432416.512,469079.4342520959,0.3273346859353553,0.22642198284439996,100454,97871,125,0.7630357861144346,0.3808857712265321,0.6631631335870625,0.4746434430376954,0.6200001994414469,0.7497971955035346,,ok,
Exathlon_id_7,Exathlon,TimeXer,43066,39262,0,0,5437,37629,0.681954249505188,0.3077506870403422,0.5499010180408535,0.248493074136816,0.5530194668059935,0.29664254890992087,0.3876024084049026,0.24598540925702822,26576,25907,125,0.9707858061273938,0.7094803672524199,0.9725638772204465,0.6762036865226247,0.8585986970675732,0.9907972665148064,,ok,
CATSv2_id_2,CATSv2,TimeXer,195000,192748,0,0,6600,188400,0.08308556249116687,0.10424491759281615,0.02040900279467184,0.08405713329669794,0.08273622442750651,0.10393351333468621,0.020247984024718103,0.0836315525625765,182708,179838,125,0.6915266176896351,0.14244726276742048,0.6854467519193064,0.22825365704764958,0.25784436860268894,0.6323847561990348,,ok,
CATSv2_id_6,CATSv2,TimeXer,200000,184426,0,0,4000,196000,0.08186080810004331,0.0625150869338023,0.004968920271101112,0.04358211998101639,0.08087919831999577,0.062317286567036556,0.003668950639912405,0.043649181948436054,145713,143609,189,0.8054592091836734,0.4048626612537718,0.8474181645512762,0.3707430466205198,0.4884200967062777,0.5855562784645413,,ok,
Exathlon_id_17,Exathlon,TimeXer,129197,124861,0,0,16105,113092,20993529342641.258,499335.2138611215,0.7231534333329954,0.3061754126112075,17431377559887.053,471979.75565878605,0.3240411409700336,0.22264819276138426,100454,97871,125,0.7677133415667285,0.41350713379475273,0.6661130174648722,0.522682429543507,0.64412847735021,0.7730369830570232,,ok,
