dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.587412,0.975533,0.593843,0.975516,0.776681,0.987605,0.313275,0.210350
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.319561,0.919141,0.294826,0.910804,0.410223,0.850818,0.262164,0.099453
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.817808,0.983835,0.812686,0.983372,0.913482,1.000000,0.625173,0.313518
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.924832,0.985288,0.871051,0.975043,0.908778,0.986601,65.715464,0.462447
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.247983,0.566267,0.238888,0.564538,0.409777,0.976912,0.112963,0.183025
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.231666,0.547666,0.224726,0.545170,0.386838,0.984440,0.088220,0.161606
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243452
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.043838,0.596736,0.039415,0.571585,0.081526,0.784468,0.087748,0.038986
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.882699,0.972140,0.830731,0.953283,0.899103,0.987293,23.089676,0.301517
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.766805,0.986391,0.766576,0.986022,0.840482,1.000000,0.473423,0.243453
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.315907,0.815411,0.344498,0.796942,0.418031,0.423448,0.085635,0.037492
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.784711,0.973395,0.760356,0.963760,0.831012,0.582601,7228361205435.783203,217815.137459
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.840530,0.989749,0.827884,0.987752,0.773908,1.000000,0.565682,0.292635
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.587412,0.975533,0.593842,0.975516,0.776681,0.987605,0.313275,0.210350
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.361944,0.813799,0.327881,0.770371,0.422112,0.636233,0.084197,0.038577
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.754307,0.982851,0.733388,0.981439,0.910900,0.977966,0.577000,0.265220
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.784711,0.973395,0.760356,0.963760,0.831012,0.582601,7228361205435.783203,217815.137459
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.784711,0.973395,0.760355,0.963760,0.831012,0.582601,7228360667320.881836,217815.123392
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.784711,0.973395,0.760355,0.963760,0.831012,0.582601,7228360667320.881836,217815.123392
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.070185,0.685799,0.060008,0.681612,0.142135,0.224115,0.065112,0.044784
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.784711,0.973395,0.760355,0.963760,0.831012,0.582601,7228360667320.881836,217815.123392
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.207443,0.923198,0.255741,0.877841,0.424596,0.506282,0.152726,0.144836
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.007648,0.427604,0.007440,0.418530,0.015092,0.010455,0.019019,0.015225
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.008940,0.135891,0.008589,0.108766,0.018354,0.087529,0.018221,0.014983
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.008877,0.280378,0.008547,0.261186,0.018374,0.081333,0.018793,0.015268
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.007572,0.332189,0.007189,0.318234,0.015389,0.206988,0.017594,0.014648
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.009627,0.274951,0.009413,0.262326,0.027459,0.192208,0.018055,0.015084
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.008188,0.384806,0.007225,0.359434,0.015942,0.542469,0.018008,0.014992
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.008267,0.339093,0.007751,0.305667,0.017582,0.182669,0.017330,0.014743
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.009460,0.452693,0.008630,0.431553,0.019341,0.191259,0.017308,0.014775
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.014536,0.293902,0.014120,0.273702,0.034602,0.642452,0.017862,0.014830
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.019605,0.247705,0.018970,0.219812,0.041075,0.035199,0.018640,0.015163
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.008924,0.367241,0.008389,0.338308,0.018356,0.519050,0.018307,0.015047
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.005444,0.225860,0.005309,0.199660,0.011852,0.149117,0.016882,0.014521
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.040223,0.399176,0.039391,0.385489,0.079999,0.652831,0.017060,0.014567
137_CreditCard_id_1_Finance_tr_500_1st_541,0.048758,0.814063,0.003511,0.590631,0.021723,0.028099,1.431319,0.749859
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.013385,0.793343,0.004297,0.606258,0.012792,0.059540,0.249789,0.131036
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.005026,0.263794,0.004869,0.248792,0.009690,0.009663,0.018512,0.015051
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.333456,0.717666,0.337285,0.704022,0.384297,0.564534,0.078703,0.037256
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004581,0.350564,0.004428,0.325641,0.010071,0.107920,0.018232,0.014948
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.369235,0.742453,0.379943,0.710266,0.420068,0.752931,0.083663,0.037762
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.014470,0.435396,0.014045,0.421109,0.029816,0.224909,0.018226,0.014961
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.017778,0.373750,0.016982,0.354212,0.036708,0.456449,0.016953,0.014577
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.014920,0.267494,0.014206,0.240317,0.030962,0.301959,0.017937,0.014969
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.013153,0.337837,0.012622,0.316508,0.026849,0.408652,0.018678,0.015159
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.013122,0.435242,0.012679,0.419291,0.027007,0.086781,0.018795,0.015330
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.010706,0.276688,0.010230,0.251513,0.023061,0.278735,0.017452,0.014831
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.008758,0.415900,0.008310,0.396131,0.022220,0.225711,0.018606,0.015181
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.007162,0.376525,0.007026,0.356561,0.015900,0.011612,0.018829,0.015195
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.045347,0.466673,0.044297,0.453651,0.094108,0.634102,0.017900,0.014830
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.011385,0.590812,0.011786,0.660947,0.034828,0.321555,0.404367,0.285207
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.011146,0.340448,0.010753,0.320470,0.023647,0.321616,0.018032,0.014895
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.032472,0.692382,0.145326,0.595226,0.210524,0.666667,0.032816,0.102795
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.016558,0.784091,0.012900,0.699814,0.060457,0.851648,0.027789,0.111820
002_MSL_id_1_Sensor_tr_500_1st_900,0.009758,0.552170,0.004821,0.348568,0.014900,0.011976,0.207897,0.055271
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.477738,0.961686,0.232693,0.923043,0.487680,0.845161,1.637897,0.073985
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.173821,0.864441,0.534142,0.797709,0.609245,1.000000,0.047657,0.135084
012_MSL_id_11_Sensor_tr_539_1st_940,0.954428,0.996488,0.783016,0.980053,0.697474,1.000000,0.146626,0.032523
013_MSL_id_12_Sensor_tr_554_1st_1200,0.084685,0.903614,0.027861,0.802376,0.086330,0.023183,0.180361,0.029838
015_MSL_id_14_Sensor_tr_575_1st_1250,0.120246,0.440303,0.117071,0.431935,0.234879,0.231449,0.234538,0.039615
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.688820,0.955882,0.516415,0.917511,0.587715,1.000000,1.352280,0.067939
016_MSL_id_15_Sensor_tr_500_1st_780,0.389550,0.879581,0.364163,0.860314,0.498808,0.991150,648.454701,0.964969
017_MSL_id_16_Sensor_tr_512_1st_1850,0.077716,0.311379,0.069087,0.248869,0.162915,0.994505,0.190520,0.043462
003_MSL_id_2_Sensor_tr_883_1st_1238,0.139526,0.765748,0.124563,0.731907,0.260867,0.899408,0.151714,0.023009
004_MSL_id_3_Sensor_tr_530_1st_630,0.072145,0.050717,0.050104,0.042876,0.095425,0.095426,0.159047,0.017303
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.168883,0.584370,0.157232,0.577564,0.290783,0.772603,0.258467,0.038041
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.657740,0.930370,0.604610,0.882366,0.615256,1.000000,0.053214,0.133233
005_MSL_id_4_Sensor_tr_855_1st_2700,0.054784,0.730698,0.024078,0.598571,0.076881,0.061313,0.118512,0.020471
009_MSL_id_8_Sensor_tr_714_1st_1390,0.257530,0.932039,0.034354,0.607844,0.121949,0.347107,0.153357,0.021789
007_MSL_id_6_Sensor_tr_980_1st_3550,0.298588,0.944587,0.237102,0.922637,0.479793,0.816216,0.119157,0.019399
008_MSL_id_7_Sensor_tr_656_1st_1630,0.443103,0.915003,0.209510,0.840651,0.420794,0.156008,0.412556,0.048782
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.593325,0.908204,0.438906,0.839703,0.485630,0.924831,0.503031,0.234079
