dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,TimesFM,46655,42582,0,0,2948,43707,0.3132746744442638,0.21035046723048378,0.18109597185677245,0.2376222203903658,0.307344508467591,0.20885084095570391,0.17886163215061884,0.2358728892824214,31757,30801,10,0.9755158619323278,0.58741230407242,0.9755332825830689,0.593842590869738,0.7766813750623963,0.9876046901172529,,ok,
Daphnet,Daphnet,TimesFM,38774,35292,0,0,2306,36468,0.2621635132780032,0.09945340316723676,0.1484122293186244,0.07534193900376115,0.2542611683040258,0.08904361445446772,0.13067197853016543,0.06688118835176252,26488,25099,58,0.9108038117938896,0.31956087777474795,0.9191405715274201,0.29482598556474987,0.41022286750759773,0.8508180943214629,,ok,
Exathlon_id_12,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342315203150925,0.24345285332754577,0.40550530030973253,0.21369313547021307,0.4376495901493992,0.24019944136955276,0.29208321695066986,0.20856833647660955,31780,30824,27,0.9860224381466048,0.7668046881784721,0.9863912872383356,0.7665757750091905,0.8404823527289198,1.0,,ok,
Exathlon_id_11,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342315203150925,0.24345285332754577,0.40550530030973253,0.21369313547021307,0.4376495901493992,0.24019944136955276,0.29208321695066986,0.20856833647660955,31780,30824,27,0.9860224381466048,0.7668046881784721,0.9863912872383356,0.7665757750091905,0.8404823527289198,1.0,,ok,
Exathlon_id_10,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342315203150925,0.24345285332754577,0.40550530030973253,0.21369313547021307,0.4376495901493992,0.24019944136955276,0.29208321695066986,0.20856833647660955,31780,30824,27,0.9860224381466048,0.7668046881784721,0.9863912872383356,0.7665757750091905,0.8404823527289198,1.0,,ok,
Exathlon_id_1,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.6251734074961866,0.31351829130690506,0.38791049995147586,0.3127654375559187,0.5777370298959542,0.30879615013159334,0.3429174581873333,0.3117460405087041,26576,25907,30,0.9833719304959464,0.8178076229588355,0.9838351070020616,0.8126862883567737,0.9134816834294874,1.0,,ok,
Exathlon_id_13,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769999800968681,0.26521978293386617,0.4289234908554851,0.228449949905557,0.5333350335764965,0.2609163422443273,0.3888249030014197,0.2296306188388235,26576,25907,125,0.9814389563600558,0.7543069104896876,0.9828510867230456,0.7333876540884439,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_14,Exathlon,TimesFM,46660,44228,0,0,5817,40843,65.71546354613243,0.46244709581867083,0.2523425500388194,0.31070499617309716,0.5527619857310284,0.2664103035553752,0.23250961125165392,0.23903857630193015,34550,32828,125,0.9750431712009775,0.9248323908516645,0.9852875057414499,0.8710508878464479,0.9087782132889539,0.9866010854816825,,ok,
Exathlon_id_2,Exathlon,TimesFM,46656,42876,0,0,3787,42869,0.11296337652716519,0.18302545960282693,0.1129260022448049,0.20592781750280836,0.11152625654814363,0.18176860640764383,0.1122554484816341,0.20510383879517435,32085,31224,10,0.5645380348035933,0.24798261576362535,0.5662671558055691,0.23888768131862725,0.4097772730333315,0.9769121630336643,,ok,
Exathlon_id_18,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342315203150925,0.24345285332754577,0.40550530030973253,0.21369313547021307,0.4376495901493992,0.24019944136955276,0.29208321695066986,0.20856833647660955,31780,30824,27,0.9860224381466048,0.7668046881784721,0.9863912872383356,0.7665757750091905,0.8404823527289198,1.0,,ok,
Exathlon_id_20,Exathlon,TimesFM,46650,43406,0,0,3891,42759,0.08822000227319003,0.1616062864127786,0.0852399871291423,0.1920686208372369,0.07757044353946774,0.15970488858553974,0.08135045459174985,0.19145852411061912,33761,32613,10,0.545170042670224,0.23166642575647337,0.5476656878504984,0.2247255019397243,0.3868376655585644,0.9844402277039849,,ok,
Exathlon_id_19,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342330109209735,0.2434524893540235,0.40550538315715756,0.21369313577288923,0.43764972379537975,0.24019906874650288,0.29208320618920797,0.20856833447758882,31780,30824,27,0.9860224537658335,0.7668046881784721,0.9863912872383356,0.7665761022847127,0.8404823527289198,1.0,,ok,
CATSv2_id_1,CATSv2,TimesFM,100000,94455,0,0,2000,98000,0.08774809965465849,0.03898630965942987,0.0008412043371402389,0.014028737364960504,0.08747824372270724,0.03886516871079574,0.000840836583742476,0.01398382246204637,81332,80471,97,0.5715854030612244,0.04383838463228086,0.5967361721825423,0.0394152898838485,0.0815261960951753,0.7844675426554226,,ok,
Exathlon_id_23,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342307659800265,0.2434527762700323,0.40550535564649537,0.21369313056638428,0.4376495138945599,0.24019936313634216,0.292083215685153,0.20856833613664316,31780,30824,27,0.9860224537658334,0.7668046881784721,0.9863912872383356,0.7665760262090658,0.8404823527289198,1.0,,ok,
Exathlon_id_21,Exathlon,TimesFM,46649,43979,0,0,4856,41793,23.089676395730006,0.3015174271772661,0.12772840000505153,0.20815092687401862,0.15988474472368241,0.17160275660355293,0.11533285022444331,0.16895601335188448,34708,33273,125,0.9532831405754358,0.8826988371509943,0.9721400029045107,0.8307308923493254,0.8991030347952947,0.9872928738436515,,ok,
Exathlon_id_22,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_24,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_27,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_3,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_4,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.47342307659800265,0.2434527762700323,0.40550535564649537,0.21369313056638428,0.4376495138945599,0.24019936313634216,0.292083215685153,0.20856833613664316,31780,30824,27,0.9860224537658334,0.7668046881784721,0.9863912872383356,0.7665760262090658,0.8404823527289198,1.0,,ok,
CATSv2_id_4,CATSv2,TimesFM,195000,181907,0,0,5900,189100,0.08563502620817631,0.037491568526775626,0.00036439016054406104,0.011758716771953736,0.08520109080475008,0.03730571044884185,0.0003618753762762197,0.011708459044843642,147273,144116,73,0.7969417938674721,0.3159072516285134,0.8154107533005115,0.3444983598299824,0.4180307286946642,0.4234484583829562,,ok,
Exathlon_id_15,Exathlon,TimesFM,129197,124861,0,0,16105,113092,7228361205435.783,217815.13745892775,0.40245946486107853,0.2708442783533281,6667338985125.267,212928.50601989726,0.32070523807319373,0.2649204071726967,100454,97871,125,0.9637602544591921,0.784710603899976,0.9733945876803649,0.7603556234577865,0.8310122701201806,0.5826010544815465,,ok,
Exathlon_id_6,Exathlon,TimesFM,46660,42586,0,0,2928,43732,0.565681807825854,0.2926348375433309,0.4125613378610043,0.33142757781849064,0.5597071770588404,0.29139593251602036,0.4004994671872352,0.33070067632320693,31780,30824,125,0.9877518069573293,0.8405295518856896,0.9897490750023076,0.8278837338508085,0.7739082522980927,1.0,,ok,
Exathlon_id_8,Exathlon,TimesFM,46655,42582,0,0,2948,43707,0.31327457913524387,0.21035038003102677,0.1810959734717222,0.23762222559911655,0.3073444175897891,0.2088507529920597,0.1788616335837846,0.23587288499168851,31757,30801,10,0.9755158386491221,0.58741230407242,0.9755332825830689,0.5938423145517888,0.7766813750623963,0.9876046901172529,,ok,
Exathlon_id_7,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
CATSv2_id_6,CATSv2,TimesFM,200000,184426,0,0,4000,196000,0.0841966272082346,0.03857699231789663,0.0008555575297884726,0.01249438067628522,0.0842956654553701,0.03856934987409284,0.00045538953409528037,0.012519226840029552,145713,143609,189,0.7703711670918367,0.3619442007418995,0.8137994406665711,0.32788120917277536,0.42211170671762355,0.6362334976936536,,ok,
Exathlon_id_9,Exathlon,TimesFM,43066,39262,0,0,5437,37629,0.5769998884080205,0.2652196909296699,0.4289234838567834,0.2284499301393953,0.533334955481841,0.2609162488440854,0.3888249114630493,0.22963060233627422,26576,25907,125,0.9814389661357585,0.7543069104896876,0.9828510867230456,0.7333876679244028,0.9108995128148268,0.9779656443924813,,ok,
Exathlon_id_17,Exathlon,TimesFM,129197,124861,0,0,16105,113092,7228361205435.783,217815.13745892775,0.40245946486107853,0.2708442783533281,6667338985125.267,212928.50601989726,0.32070523807319373,0.2649204071726967,100454,97871,125,0.9637602544591921,0.784710603899976,0.9733945876803649,0.7603556234577865,0.8310122701201806,0.5826010544815465,,ok,
Exathlon_id_25,Exathlon,TimesFM,129197,124861,0,0,16105,113092,7228360667320.882,217815.1233921825,0.4024594493957876,0.27084428862367044,6667338863771.093,212928.49402550948,0.3207052319686267,0.2649204133987932,100454,97871,125,0.9637601935152751,0.7847106038302267,0.9733945875389386,0.7603553078414568,0.8310122701201806,0.5826010544815465,,ok,
Exathlon_id_26,Exathlon,TimesFM,129197,124861,0,0,16105,113092,7228360667320.882,217815.1233921825,0.4024594493957876,0.27084428862367044,6667338863771.093,212928.49402550948,0.3207052319686267,0.2649204133987932,100454,97871,125,0.9637601935152751,0.7847106038302267,0.9733945875389386,0.7603553078414568,0.8310122701201806,0.5826010544815465,,ok,
CATSv2_id_2,CATSv2,TimesFM,195000,192748,0,0,6600,188400,0.0651120218149568,0.04478424475973836,0.0031029221999812062,0.030417447498925033,0.06491624680645287,0.04465027730866373,0.0031033180959116583,0.030216915041502198,182708,179838,125,0.6816116813034807,0.07018536906121417,0.6857994733867676,0.06000842478571557,0.14213549065174225,0.22411474675033619,,ok,
Exathlon_id_5,Exathlon,TimesFM,129197,124861,0,0,16105,113092,7228360667320.882,217815.1233921825,0.4024594493957876,0.27084428862367044,6667338863771.093,212928.49402550948,0.3207052319686267,0.2649204133987932,100454,97871,125,0.9637601935152751,0.7847106038302267,0.9733945875389386,0.7603553078414568,0.8310122701201806,0.5826010544815465,,ok,
GECCO,GECCO,TimesFM,138521,133097,0,0,1726,136795,0.1527261538960393,0.1448355426575252,0.10296790945365608,0.13513913610820028,0.0872852945829814,0.13991742680474462,0.07871942468294997,0.13107147714223222,120361,107655,57,0.8778408027981413,0.20744286363433065,0.9231980768145678,0.2557405611423997,0.424595615900169,0.5062823355506282,,ok,
GHL_id_12,GHL,TimesFM,200001,187445,0,0,1051,198950,0.019018936491480412,0.015224943657054395,0.0026353739338035613,0.00811300100796646,0.01898656609328033,0.015204902457940523,0.002640126504288402,0.008116280407712827,158912,158625,125,0.4185302930776682,0.00764777735881784,0.4276039042666609,0.007440215261320543,0.015092184861910699,0.010455058666706457,,ok,
GHL_id_1,GHL,TimesFM,200001,184427,0,0,1850,198151,0.018220844771580064,0.014983329276473232,0.002475363161068391,0.008517144949441035,0.01812488823171172,0.01492472400043548,0.0024627684197517526,0.008431510514318863,147864,147332,125,0.10876561650294811,0.0089401979178834,0.13589141717544012,0.00858853430190438,0.018353538993755133,0.08752904725019364,,ok,
GHL_id_13,GHL,TimesFM,200001,184427,0,0,1849,198152,0.01879306618380424,0.015268165129920807,0.002520158406562856,0.008394049998828016,0.018710586722795942,0.015223158863402043,0.002509748203375751,0.008325613171268868,147865,147332,125,0.26118637726928895,0.008876816534279698,0.2803778662899608,0.008547367047322068,0.018373968926424317,0.0813327421296003,,ok,
GHL_id_11,GHL,TimesFM,200001,184427,0,0,1546,198455,0.017594449732953488,0.01464846710877006,0.0024089026858403204,0.008706527561652697,0.017580867769405588,0.0146427962741551,0.002410982274477066,0.008715017169367621,148168,147499,125,0.3182341642226303,0.007572151146201362,0.3321885885709099,0.007188613198422988,0.015388520797171856,0.2069879119059447,,ok,
GHL_id_10,GHL,TimesFM,200001,184427,0,0,1855,198146,0.018054839947346742,0.015083953295336993,0.002483226247135843,0.00875015235889372,0.018057668214480738,0.01508679741635757,0.0024833181780061016,0.008697407543415778,147859,147332,125,0.2623256060772308,0.009627404945230691,0.274950876111225,0.009413267360904193,0.02745948496649818,0.19220779220779222,,ok,
GHL_id_15,GHL,TimesFM,200001,184427,0,0,1239,198762,0.018008043300122307,0.014992218716407426,0.0030984642931663167,0.008399800320942627,0.018009237918946437,0.014983660722736469,0.003105412550044187,0.008387100676407445,148475,148093,125,0.35943362293955516,0.008188274402216282,0.3848055978639249,0.0072247570744288754,0.015942094609796793,0.5424693520140105,,ok,
GHL_id_14,GHL,TimesFM,200001,184427,0,0,1771,198230,0.017329753359188852,0.014742500791945334,0.0023987816009878662,0.008552094468280098,0.017223832285415793,0.014669427592019389,0.002382651192874001,0.008500355908407694,147943,147407,125,0.30566655926975195,0.00826695671188458,0.3390930401811653,0.007750621889132251,0.017581654199496564,0.1826694968160819,,ok,
GHL_id_19,GHL,TimesFM,175001,161301,0,0,1129,173872,0.017308321931161223,0.014775395531189993,0.0024473659392579943,0.010721950143427365,0.01728872665776678,0.014756991871035744,0.002448068328755256,0.010716097627481899,129835,129453,125,0.43155264824075107,0.009459949462251958,0.45269280796318634,0.008629648312086955,0.01934143921767012,0.19125868202608842,,ok,
GHL_id_16,GHL,TimesFM,200001,184427,0,0,2728,197273,0.017861829939150163,0.01483040895527529,0.002486873540259093,0.008565609845266635,0.017816358156033642,0.014802642758129963,0.002479123188957375,0.008459443177044529,146986,146332,125,0.2737019889358559,0.01453612365790603,0.2939017996764012,0.014120405262607237,0.03460212037267209,0.6424522359857233,,ok,
GHL_id_17,GHL,TimesFM,200001,184427,0,0,3583,196418,0.01863970107229719,0.015162795972632814,0.004189435891860848,0.008509168843775013,0.018432443450407933,0.01503945244626819,0.004035066206780378,0.008364262840656625,146131,145332,125,0.21981193573212165,0.01960486910271705,0.24770542603061382,0.018970334385661362,0.04107491581116651,0.03519940270061842,,ok,
GHL_id_2,GHL,TimesFM,200001,184427,0,0,1847,198154,0.01830741485674892,0.0150469702937357,0.003199432899271936,0.008401755469266237,0.018188224331053594,0.014980479679099703,0.003158872619266061,0.008322325412510507,147867,147332,125,0.33830787131110784,0.008923837091462404,0.3672414924979282,0.008388628841155685,0.018356465820607397,0.519050059798394,,ok,
GHL_id_20,GHL,TimesFM,200001,184427,0,0,1191,198810,0.016881916641948623,0.014520857914879625,0.0023778456096469167,0.008706549702387338,0.01684227163384329,0.014489270963358614,0.0023740264817343876,0.008711382399063416,148523,148141,125,0.1996597027713721,0.005443603907297055,0.22586016651215254,0.005309076334342862,0.011852161580085138,0.1491173156379116,,ok,
GHL_id_18,GHL,TimesFM,200001,184427,0,0,5549,194452,0.01706036660367964,0.014567402930184872,0.002393664485177725,0.008451762681068066,0.016908561061934956,0.014474309710540876,0.0023733570021394505,0.00828965084350733,144165,143337,125,0.3854885102952329,0.040223085703043254,0.39917550156161646,0.039390948479235334,0.07999923200737272,0.6528305070446301,,ok,
CreditCard,CreditCard,TimesFM,284807,284233,0,0,492,284315,1.4313189302641147,0.7498586710617952,1.3247567120196182,0.7344834058648628,1.4072699259176111,0.7473325779915168,1.3038078627349232,0.7336779228926232,283530,204451,30,0.5906313620141636,0.04875772486754904,0.8140632751710781,0.0035108974515904827,0.021722658286635544,0.02809917355371901,,ok,
Genesis,Genesis,TimesFM,16220,14429,0,0,50,16170,0.24978854443959492,0.13103648837664258,0.0813430050766066,0.056990693740993935,0.25414380632551553,0.1317745337168429,0.08132974512704055,0.05691348030507725,11828,11163,125,0.6062578849721707,0.013384902556728272,0.7933429980658789,0.004297252957453666,0.01279216778207263,0.05953991880920163,,ok,
GHL_id_21,GHL,TimesFM,200001,184427,0,0,971,199030,0.018511788313474713,0.01505109337490862,0.0025110120057173853,0.008742608852222502,0.0184394410832045,0.015017622510517524,0.0025047707267127164,0.008691026226741885,148743,148361,125,0.24879163945133903,0.005026257772645007,0.2637939961517344,0.004868729818087006,0.009690183847295466,0.009663085718835056,,ok,
CATSv2_id_3,CATSv2,TimesFM,400000,390933,0,0,28000,372000,0.07870272006765494,0.037255950676486696,0.0005949167142756868,0.012643813189642967,0.07863659069948598,0.03719669924069696,0.0004630598558138756,0.012660230557100778,343593,336418,125,0.7040217915226574,0.33345577791208414,0.7176662647407943,0.33728549382218764,0.38429656305633586,0.5645342592361302,,ok,
GHL_id_24,GHL,TimesFM,200001,184427,0,0,1009,198992,0.01823205317013922,0.014948270582786395,0.0024255471646338765,0.008523469022386236,0.01818785435442971,0.014919565392089837,0.002421184954539943,0.008529219032873474,148705,148323,125,0.3256412766328421,0.004580982378904858,0.3505644164170972,0.004427890583133767,0.01007061438252387,0.10792020963687898,,ok,
CATSv2_id_5,CATSv2,TimesFM,350000,340214,0,0,17100,332900,0.08366252932577468,0.03776170807928656,0.0005806148077049595,0.01140803198636121,0.08365946184205522,0.03774051739749652,0.0005828288694135771,0.011338368700644667,302096,298365,296,0.710265590882182,0.3692348845848521,0.7424533078209193,0.3799425929654291,0.4200675847958741,0.7529310530278585,,ok,
GHL_id_3,GHL,TimesFM,200001,184427,0,0,1919,198082,0.018226447688625195,0.014961018864854833,0.0024137418150444066,0.008312217473033588,0.018156342691240262,0.01491950001072801,0.0024052621378010323,0.008261345994289963,147795,147276,125,0.42110907174582773,0.014469704577819544,0.43539593237338503,0.014045097979100453,0.029816362589761284,0.2249087591240876,,ok,
GHL_id_23,GHL,TimesFM,200001,184427,0,0,3734,196267,0.016953207043052042,0.014576566871993919,0.0023516772186566092,0.008635658697433159,0.016817342962199753,0.014492136146674302,0.0023383588617180346,0.00852461316014855,145980,145165,125,0.35421233602643803,0.017778180550427333,0.3737498004141113,0.016982409615378453,0.036708251530766796,0.45644877736934636,,ok,
GHL_id_25,GHL,TimesFM,200001,184427,0,0,3144,196857,0.01793696167257667,0.014968878816898542,0.002416404189182726,0.008589023312939217,0.0178250470761728,0.014910576778527675,0.0024035516855625263,0.008495258028188533,146570,145899,125,0.24031676320734027,0.014920499148070105,0.2674940591577845,0.01420581649858981,0.030962404997351194,0.3019592777564349,,ok,
GHL_id_4,GHL,TimesFM,200001,184427,0,0,2713,197288,0.018678239318048528,0.015159404915933272,0.002471302431961678,0.008778037650790176,0.018550972207457272,0.015089599997369318,0.002455040948974006,0.008678528750548654,147001,146332,125,0.31650820586048395,0.013153106647295647,0.3378374885719334,0.012622263536635894,0.026848892924736138,0.4086522462562396,,ok,
GHL_id_6,GHL,TimesFM,200001,184427,0,0,1866,198135,0.018795221449073665,0.015329745836188824,0.002478240789652699,0.008412136758251705,0.018678486174105103,0.015268969997656938,0.002463364307198827,0.008353256982307603,147848,147332,125,0.41929136302126657,0.013121564382607434,0.43524166171955425,0.012678628366127589,0.0270066155594347,0.08678148065309774,,ok,
GHL_id_5,GHL,TimesFM,200001,184427,0,0,2283,197718,0.017452149078205637,0.014831261524575716,0.0024077448255037763,0.008238355358265784,0.017332601761721616,0.014762885052316856,0.0023983412384536535,0.008198908633572852,147431,146762,125,0.25151259710351626,0.010706470484722294,0.27668835298483585,0.010229760349631046,0.023060545344945546,0.27873530418901954,,ok,
GHL_id_7,GHL,TimesFM,200001,184427,0,0,1695,198306,0.0186063899013473,0.015180948276058193,0.0035718369057597715,0.008497034065276746,0.018514498653612873,0.015137722854955415,0.0035519688895004078,0.00849301771348605,148019,147350,125,0.3961310634406759,0.00875799140993879,0.41589972635589384,0.008309889957945462,0.02222023583965606,0.22571117674490906,,ok,
GHL_id_8,GHL,TimesFM,200001,184427,0,0,1168,198833,0.01882921363242049,0.015194943715944218,0.003991116360189646,0.008584067740667322,0.018781990047152145,0.015163238817659644,0.003952438031236493,0.008590438713368186,148546,148164,125,0.35656056945013875,0.007162309305195226,0.37652544474503047,0.007025971043136075,0.01590030103289854,0.011612184840531297,,ok,
GHL_id_22,GHL,TimesFM,200001,184427,0,0,6492,193509,0.017899823688947124,0.014830442159963033,0.0024114129766904077,0.008647063389020323,0.01767812951487041,0.014711440299325721,0.0023869589250652854,0.00850900810250298,143222,142099,125,0.45365071071075713,0.04534670231348029,0.4666731792799665,0.04429677448639048,0.09410839220923783,0.6341023792357606,,ok,
LTDB_id_5,LTDB,TimesFM,100000,94775,0,0,505,99495,0.4043670663598709,0.28520669314372765,0.40436706635987196,0.2852066931437285,0.4041774262267044,0.28506653442208935,0.4041774262267066,0.2850665344220903,83777,82171,7,0.6609467115865816,0.011384509668689199,0.5908120354364258,0.011786206640785914,0.03482815163151586,0.3215547703180212,,ok,
GHL_id_9,GHL,TimesFM,200001,184427,0,0,2387,197614,0.01803187694599947,0.014894676064614486,0.0024058950007915174,0.008486373105880062,0.017875821520308054,0.014809407923915368,0.002394740133412349,0.008406533869504452,147327,146658,125,0.32047030542321303,0.011146225595851789,0.34044786429940255,0.010753397825575405,0.023647360697313023,0.32161574843410456,,ok,
MITDB_id_10,MITDB,TimesFM,150000,138176,0,0,574,149426,0.032815977161023364,0.10279461846639813,0.032815977161023364,0.10279461846639801,0.03281309642294811,0.10276443574443388,0.032813096422948176,0.10276443574443361,111639,110970,255,0.5952263157445559,0.032471627553587776,0.6923820479912766,0.14532606505032528,0.2105239534891114,0.6666666666666666,,ok,
MITDB_id_5,MITDB,TimesFM,100000,91926,0,0,465,99535,0.02778850606663621,0.11182027903575585,0.02778850606663598,0.1118202790357623,0.02776620746936892,0.1117556213536153,0.02776620746936869,0.11175562135362174,74248,73866,271,0.6998144166071155,0.016558349564667663,0.7840907571650088,0.012899821036886146,0.060456754801813326,0.8516483516483516,,ok,
MSL_id_1,MSL,TimesFM,1827,1253,0,0,11,1816,0.20789739181437672,0.055271460567533744,8.626572213597111e-06,0.0029371026903390884,0.2219820142394633,0.056650879369122095,8.626572213597111e-06,0.0029371026903390884,1029,647,125,0.34856828193832595,0.009757773555120738,0.5521695710298226,0.004820827481066116,0.0149004817930061,0.011976047904191617,,ok,
MSL_id_10,MSL,TimesFM,6100,5068,0,0,131,5969,1.6378971914302465,0.07398546639697452,8.626572213596666e-06,0.0029371026903390884,0.48676532695043606,0.051306644519371544,8.626572213596972e-06,0.0029371026903390884,4157,3775,125,0.9230425902787813,0.47773751959847616,0.9616859588102132,0.23269342254523745,0.4876803580920286,0.8451612903225807,,ok,
MITDB_id_6,MITDB,TimesFM,200000,184426,0,0,353,199647,0.04765691646017726,0.1350838375543326,0.04765691646017707,0.13508383755432926,0.04765705149349182,0.1350701868290831,0.04765705149349163,0.1350701868290799,149360,148978,125,0.7977093592854279,0.17382054264945332,0.8644406573682291,0.5341422360893142,0.609245478139805,1.0,,ok,
MSL_id_11,MSL,TimesFM,2156,1582,0,0,101,2055,0.14662634748357484,0.03252320202187447,8.626572213597111e-06,0.0029371026903390884,0.11223703955330591,0.026656101924891568,8.626572213597111e-06,0.0029371026903390884,1229,847,244,0.9800534798005349,0.9544280874355668,0.9964878281483384,0.7830163466092006,0.697474106029561,1.0,,ok,
MSL_id_12,MSL,TimesFM,2218,1644,0,0,26,2192,0.18036050254082073,0.029837849644384573,8.626572213597111e-06,0.0029371026903390884,0.19162796208999938,0.030505105500025803,8.626572213597111e-06,0.0029371026903390884,1351,969,125,0.8023757720381808,0.08468512797899515,0.9036143699005836,0.02786096811518462,0.0863300437440027,0.0231832367365136,,ok,
MSL_id_14,MSL,TimesFM,2303,1729,0,0,301,2002,0.23453772854478996,0.03961505687750704,8.626572213597111e-06,0.0029371026903390884,0.2563206318778479,0.04116104553682498,8.626572213597111e-06,0.0029371026903390884,1140,758,15,0.4319351744600914,0.12024552681133835,0.4403028840957018,0.11707132216082997,0.23487892588322143,0.2314494425221069,,ok,
MSL_id_13,MSL,TimesFM,6100,5068,0,0,181,5919,1.3522799579225977,0.0679385140654268,8.626572213596703e-06,0.0029371026903390884,0.4902893926105766,0.05128810025047765,8.626572213597016e-06,0.0029371026903390884,4107,3725,125,0.9175107038948456,0.6888196473139107,0.9558818131531819,0.51641486773052,0.587714510753834,1.0,,ok,
MSL_id_15,MSL,TimesFM,1096,522,0,0,112,984,648.4547009019744,0.9649686057164591,8.626572213597111e-06,0.0029371026903390884,nan,nan,nan,nan,204,0,9,0.8603141332752613,0.3895499142865648,0.8795813584060556,0.364162654671593,0.4988084463832796,0.9911504424778761,,ok,
MSL_id_16,MSL,TimesFM,2049,1475,0,0,181,1868,0.19052014182664959,0.0434622945472036,8.626572213597111e-06,0.0029371026903390884,0.19591359017603135,0.04355064208918339,8.626572213597111e-06,0.0029371026903390884,1069,956,125,0.24886870467424613,0.07771610126551382,0.3113791660507188,0.06908671576414196,0.16291479518858243,0.9945054945054945,,ok,
MSL_id_2,MSL,TimesFM,3535,2961,0,0,228,3307,0.15171429293801864,0.023009111335482238,8.626572213597111e-06,0.0029371026903390884,0.14576644397455601,0.022390887889659157,8.626572213597111e-06,0.0029371026903390884,2137,1495,40,0.7319070658199778,0.13952608153528054,0.76574806520281,0.1245627866309936,0.2608666919031037,0.8994082840236687,,ok,
