dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.523858,0.971631,0.513892,0.971311,0.726290,0.957298,0.385307,0.290654
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.355209,0.928896,0.319835,0.922705,0.470680,0.732110,0.528462,0.201839
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.655654,0.982867,0.634902,0.981548,0.759921,0.971305,1.484091,0.372892
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.647850,0.982462,0.628469,0.980423,0.769270,0.977793,2.011667,0.373177
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.653448,0.982233,0.638491,0.980567,0.771779,0.990025,2.083771,0.372377
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.730967,0.977022,0.723548,0.976619,0.887895,0.999540,5.303396,0.433972
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.746927,0.977792,0.731089,0.976227,0.858969,0.999540,4.215105,0.460805
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.769806,0.968265,0.717934,0.954208,0.870301,0.945931,23961.682304,4.315204
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.327492,0.762905,0.317408,0.761567,0.450985,0.964104,0.227457,0.239214
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.356419,0.818568,0.347365,0.817025,0.452037,0.975555,0.181522,0.207545
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.641924,0.980814,0.623660,0.978180,0.748989,0.981891,2.043509,0.375342
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.213186,0.785057,0.178946,0.759876,0.332057,0.729722,0.298591,0.250431
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.617017,0.979300,0.596354,0.977216,0.752671,0.949570,3.207599,0.404696
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.738035,0.972994,0.686542,0.963320,0.865857,0.956000,15901.599397,3.964011
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.608638,0.978533,0.589487,0.976009,0.748468,0.968094,1.565936,0.369825
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.760738,0.980369,0.737745,0.978579,0.880416,0.999173,3.054543,0.464388
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.740384,0.979136,0.717308,0.977474,0.905350,0.997249,3.157285,0.472742
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.698401,0.964124,0.689968,0.962642,0.819889,1.000000,3.741931,0.460225
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.661562,0.982347,0.642887,0.981122,0.784903,0.990193,1.455277,0.365948
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.785840,0.983916,0.760958,0.982091,0.896806,0.995788,2.876239,0.466773
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.345132,0.807233,0.393278,0.790685,0.517836,0.742821,0.201133,0.198378
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.723187,0.985434,0.653679,0.977411,0.755901,0.981562,2.073099,0.485005
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.518136,0.969360,0.511296,0.968873,0.728252,0.977292,0.411208,0.301897
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.341799,0.822309,0.319734,0.771292,0.429913,0.683913,0.151352,0.162650
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.764096,0.979410,0.741957,0.977671,0.863105,1.000000,3.411212,0.442604
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.396064,0.663790,0.496748,0.764499,0.624356,0.750667,41935922414415.140625,697703.837689
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.829511,0.988849,0.809236,0.987251,0.913226,0.999632,4.474861,0.513472
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.124477,0.707519,0.167026,0.703381,0.227505,0.623564,0.472256,0.401799
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.431048,0.666870,0.553799,0.769004,0.661746,0.750899,52011486860573.328125,735703.313350
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.417501,0.664511,0.534882,0.765897,0.635758,0.777200,45653396088237.062500,713692.590617
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.405173,0.663685,0.513143,0.764510,0.635148,0.758581,40530697446187.843750,695506.419910
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.404002,0.663382,0.509748,0.763501,0.605696,0.770650,39132643359790.421875,681441.831662
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.139865,0.879883,0.283006,0.847213,0.416825,0.550864,0.938614,0.329096
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.009311,0.519784,0.008614,0.498125,0.027886,0.420745,0.030416,0.034169
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.007460,0.394383,0.006862,0.369144,0.021361,0.222261,0.025078,0.029569
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.008358,0.406295,0.008959,0.391400,0.035271,0.227392,0.047297,0.041892
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.006422,0.427810,0.005872,0.407242,0.019395,0.119755,0.032743,0.037606
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.009469,0.556128,0.006881,0.536295,0.024122,0.665414,0.031478,0.032360
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.006980,0.309182,0.005596,0.267986,0.019093,0.076177,0.030177,0.033020
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.004337,0.415592,0.004085,0.396191,0.013042,0.010455,0.047142,0.039920
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.015738,0.438667,0.014194,0.412540,0.051503,0.151944,0.054421,0.044163
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.012646,0.419348,0.012415,0.392133,0.035401,0.682883,0.048580,0.039864
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.005647,0.411056,0.005014,0.384994,0.018590,0.062175,0.031122,0.034151
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.007811,0.432954,0.007004,0.399669,0.022513,0.089747,0.035568,0.035676
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.004712,0.370539,0.004297,0.348612,0.016070,0.050958,0.031273,0.032007
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.018140,0.234760,0.016849,0.210607,0.055827,0.555390,0.023771,0.028974
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.003151,0.224512,0.002926,0.201558,0.010159,0.009663,0.032044,0.032320
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.074429,0.926596,0.015935,0.825671,0.063895,0.270833,0.410052,0.239481
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.362837,0.750454,0.390260,0.718674,0.444988,0.604717,0.163870,0.170044
