dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,TimesNet,46655,42582,0,0,2948,43707,0.3853070280945107,0.29065373470157346,0.24202515577344302,0.31343125020438123,0.3388587978312333,0.27773376679039596,0.19780530228899826,0.3032409483264233,31757,30801,10,0.9713109537642408,0.5238577957023549,0.9716306812181625,0.5138918913339996,0.7262900654623294,0.9572982627049845,,ok,
Daphnet,Daphnet,TimesNet,38774,35292,0,0,2306,36468,0.5284622036894271,0.2018392896593608,0.3417078860838987,0.1559227354982028,0.5101349687291619,0.18281328827100435,0.33760340723163657,0.13874017945414677,26488,25099,58,0.9227048466305,0.35520904752418314,0.9288955738372255,0.319835413226498,0.4706803902291577,0.7321100917431193,,ok,
Exathlon_id_10,Exathlon,TimesNet,46660,42586,0,0,2928,43732,1.4840907599476505,0.3728922638095776,0.6674598250223951,0.3462544891012907,0.548661093790652,0.3318514793986783,0.5203045316278649,0.3281051374390782,31780,30824,27,0.9815476150312461,0.6556543233331159,0.9828669280022204,0.6349015867508397,0.7599211385958411,0.9713053574390447,,ok,
Exathlon_id_12,Exathlon,TimesNet,46660,42586,0,0,2928,43732,2.011667208048937,0.3731772944479693,0.6344556058528286,0.32818906798594294,0.5219768759600552,0.32483978174500766,0.5133652317625569,0.30689401720379805,31780,30824,27,0.980423272663251,0.6478502671101747,0.9824624211214309,0.6284693435404521,0.7692700729527565,0.9777926198029722,,ok,
Exathlon_id_11,Exathlon,TimesNet,46660,42586,0,0,2928,43732,2.0837709590090663,0.3723771799619338,0.6660961037160279,0.3300067296171778,0.5241304399691151,0.32469131178653776,0.5170673478770231,0.309490634987437,31780,30824,27,0.9805673678575767,0.653448240812363,0.9822333136675867,0.6384910436722002,0.7717794129740867,0.9900253592561284,,ok,
Exathlon_id_1,Exathlon,TimesNet,43066,39262,0,0,5437,37629,5.303396255208931,0.43397189353621,0.8371771916563205,0.3870560970186432,0.66717734539665,0.3675592879393261,0.657389760013128,0.3325702630046048,26576,25907,30,0.976618684438425,0.7309669125490149,0.9770215540978973,0.7235483656584754,0.8878948229938552,0.9995403989337255,,ok,
Exathlon_id_13,Exathlon,TimesNet,43066,39262,0,0,5437,37629,4.2151052914269345,0.4608054939366596,0.6520311374571701,0.3675308456416401,1.0326300793318046,0.41974516331769646,0.5637967755799796,0.3564143496576041,26576,25907,125,0.9762267716289732,0.7469268006891052,0.9777917164449635,0.7310894828631767,0.8589694418028083,0.9995403989337255,,ok,
Exathlon_id_14,Exathlon,TimesNet,46660,44228,0,0,5817,40843,23961.682303902777,4.315204254861819,0.7857776875652358,0.572866688869983,0.8435741583589086,0.4466333989620827,0.44938947497567155,0.4718374912258729,34550,32828,125,0.9542082513217204,0.7698061738576272,0.9682653378043667,0.7179336289121023,0.8703011240639554,0.9459305634604439,,ok,
Exathlon_id_2,Exathlon,TimesNet,46656,42876,0,0,3787,42869,0.2274565688298192,0.23921394933738818,0.17397450684610571,0.2018782615116749,0.16896238328284785,0.21867215625830666,0.09420873649219087,0.1772224308884674,32085,31224,10,0.7615669738642796,0.32749168279573365,0.7629051535760507,0.31740764292020185,0.45098490583300926,0.9641038696537678,,ok,
Exathlon_id_20,Exathlon,TimesNet,46650,43406,0,0,3891,42759,0.18152199608133987,0.2075445845540932,0.1097055657270767,0.12692055987265852,0.1307888758192648,0.18964025442652954,0.03310726461826809,0.09798426754136279,33761,32613,10,0.8170252364851174,0.35641899462451965,0.8185681366507788,0.3473647666970018,0.45203680097544086,0.975554719819481,,ok,
Exathlon_id_18,Exathlon,TimesNet,46660,42586,0,0,2928,43732,2.0435089307581373,0.37534196041077145,0.6340905607019758,0.3289786143690192,0.535474543224791,0.3298041716846217,0.51379469986204,0.31335514059886654,31780,30824,27,0.9781799062746315,0.6419244157901548,0.9808144178102491,0.623660157676328,0.7489887995936517,0.9818913480885312,,ok,
CATSv2_id_1,CATSv2,TimesNet,100000,94455,0,0,2000,98000,0.2985907284712791,0.2504306310795905,0.10147550352978352,0.19060559246258194,0.24629627427036327,0.24696319438795056,0.07419438935541434,0.1836339131217587,81332,80471,97,0.7598761275510204,0.21318563552283623,0.7850568475850358,0.17894552685006285,0.3320573386723132,0.7297221442604547,,ok,
Exathlon_id_19,Exathlon,TimesNet,46660,42586,0,0,2928,43732,3.2075987399856687,0.40469581449296127,0.7048226068515511,0.39367587351815025,0.5963249403316816,0.34630655527020765,0.5542541045465953,0.36501428091734756,31780,30824,27,0.977216465391038,0.6170169764618931,0.9793001456815865,0.59635394668004,0.7526713857636742,0.9495702934976488,,ok,
Exathlon_id_21,Exathlon,TimesNet,46649,43979,0,0,4856,41793,15901.599396517833,3.964010526270916,0.7278297807088445,0.6296387605701612,0.4467189567834963,0.4223156187308291,0.5182574602324278,0.50994903789731,34708,33273,125,0.9633198345253107,0.7380347379366735,0.9729939113181588,0.6865419960484729,0.8658568033899198,0.9559996062604587,,ok,
Exathlon_id_23,Exathlon,TimesNet,46660,42586,0,0,2928,43732,1.5659356937780404,0.36982484407767197,0.6181414668300529,0.34744701357054186,0.5470891858047965,0.33141164419280483,0.5195875700640847,0.33214531405769926,31780,30824,27,0.9760093489205738,0.6086381917733606,0.9785329053132829,0.5894873766730053,0.7484682456137134,0.9680938998181517,,ok,
Exathlon_id_22,Exathlon,TimesNet,43066,39262,0,0,5437,37629,3.054543471116094,0.4643881411181854,0.6687046846143404,0.39121050191528234,1.05803326143656,0.42820181702180915,0.6050860143554955,0.3876497597169086,26576,25907,125,0.9785786004109813,0.7607381724619878,0.9803693397757377,0.7377453525941904,0.8804161999228897,0.9991730221446292,,ok,
Exathlon_id_24,Exathlon,TimesNet,43066,39262,0,0,5437,37629,3.1572847887516797,0.47274242320820004,0.6728239765798315,0.4048899266227224,1.0550984290273757,0.4369216871405252,0.6139159223403752,0.40194930706376564,26576,25907,125,0.9774741855095902,0.7403838410996577,0.979136002199348,0.7173084543423479,0.9053503741180712,0.9972487160674982,,ok,
Exathlon_id_27,Exathlon,TimesNet,43066,39262,0,0,5437,37629,3.7419308651648806,0.46022460743090116,0.6644811801481221,0.3852352478537157,1.0261648718963206,0.41960183300144666,0.600463252098946,0.3658208394270334,26576,25907,125,0.962641565555718,0.6984008492761701,0.9641243164973861,0.6899681571872237,0.8198888497912188,1.0,,ok,
Exathlon_id_4,Exathlon,TimesNet,46660,42586,0,0,2928,43732,1.4552773521426263,0.3659476367208425,0.6585369873356415,0.33113247588088485,0.5243583164821011,0.32644286740947326,0.5144689913649703,0.312513545438887,31780,30824,27,0.9811224049588677,0.6615623332930716,0.982346588034394,0.6428871223550486,0.784902926369682,0.9901927629354075,,ok,
Exathlon_id_3,Exathlon,TimesNet,43066,39262,0,0,5437,37629,2.876238729180589,0.4667727091360964,0.6666663873490644,0.39085014051389194,1.0599425473034432,0.4317441211460987,0.5911230291608085,0.3818955391865103,26576,25907,125,0.9820909273008215,0.7858398515861594,0.9839162806872558,0.7609578364444766,0.8968055329908734,0.9957875457875458,,ok,
CATSv2_id_4,CATSv2,TimesNet,195000,181907,0,0,5900,189100,0.20113325547873767,0.19837824000182727,0.09060034513496523,0.16266700702512027,0.18830728290118942,0.19598463931367108,0.06052186434264962,0.1610261964054073,147273,144116,73,0.7906848569046957,0.3451321198344905,0.8072334920658925,0.3932775816592824,0.517836162159989,0.742820907690914,,ok,
Exathlon_id_6,Exathlon,TimesNet,46660,42586,0,0,2928,43732,2.0730994664586637,0.4850053466943829,0.7273117664580736,0.4560344752865714,1.118715304698342,0.4628915612140128,0.7287452945835474,0.4532580420322247,31780,30824,125,0.9774107139287034,0.7231873153697326,0.9854338602790575,0.6536794904008834,0.7559006943393487,0.9815621857190747,,ok,
Exathlon_id_8,Exathlon,TimesNet,46655,42582,0,0,2948,43707,0.4112079611700055,0.3018971058955738,0.2726034549368942,0.3331865767564385,0.3460185742072786,0.28699870123487115,0.22890350701932052,0.31994466219647055,31757,30801,10,0.968872907192924,0.5181359880774609,0.9693604109508654,0.5112957408763323,0.7282520978481029,0.9772915630697828,,ok,
CATSv2_id_6,CATSv2,TimesNet,200000,184426,0,0,4000,196000,0.15135248877334603,0.1626502824734084,0.03534665996314762,0.13127551238957164,0.14930255893963398,0.1621423134600233,0.03415085796291068,0.1314575229900178,145713,143609,189,0.7712923086734693,0.34179896628040013,0.8223087377965508,0.3197340091915719,0.42991337532591445,0.6839131727624145,,ok,
Exathlon_id_7,Exathlon,TimesNet,43066,39262,0,0,5437,37629,3.4112120813896953,0.4426042716393137,0.6722934967168414,0.3561072401734079,1.0032981688145388,0.40442814755535933,0.48011800139636407,0.3469444568254088,26576,25907,125,0.9776713418818236,0.7640962778687297,0.979409776992376,0.7419571069901396,0.8631052473679421,1.0,,ok,
Exathlon_id_15,Exathlon,TimesNet,129197,124861,0,0,16105,113092,41935922414415.14,697703.8376887987,0.7875511140952435,0.44975054318599456,33809535315176.41,645334.47677099,0.6009903185620584,0.3873248493556141,100454,97871,125,0.7644987223354833,0.3960637449893629,0.663789833217908,0.49674848011946504,0.6243559812630414,0.7506671307576285,,ok,
Exathlon_id_9,Exathlon,TimesNet,43066,39262,0,0,5437,37629,4.474860829840653,0.5134717026654022,0.7643776275584205,0.43291729950848196,1.1457844507582142,0.4691387257347073,0.6709705632069621,0.39994761583160854,26576,25907,125,0.9872511981626685,0.8295114803985445,0.9888490698457487,0.8092363813085145,0.9132260008520663,0.9996322853465711,,ok,
CATSv2_id_2,CATSv2,TimesNet,195000,192748,0,0,6600,188400,0.4722555606421469,0.4017990114504612,0.4896903562504986,0.3424007439853148,0.4691097689638339,0.4005722150236325,0.4856806829012049,0.3402130661195397,182708,179838,125,0.7033813103165412,0.12447703052982023,0.7075187699365622,0.16702577933847373,0.22750497948918189,0.6235641614702987,,ok,
Exathlon_id_17,Exathlon,TimesNet,129197,124861,0,0,16105,113092,52011486860573.33,735703.3133501974,1.0521669741458586,0.4658828195665604,36981399863779.016,657720.3069694025,0.6636724313998212,0.4160510263735516,100454,97871,125,0.7690035682169368,0.4310478024964649,0.6668701190077053,0.5537993182707046,0.6617463672081726,0.750899454524353,,ok,
Exathlon_id_26,Exathlon,TimesNet,129197,124861,0,0,16105,113092,45653396088237.06,713692.5906171823,0.7933586747838631,0.43512217791636326,36049531576914.94,655282.4997333495,0.6087303917825235,0.39961216564379803,100454,97871,125,0.7658966747714022,0.41750133802545814,0.6645114921040947,0.534881502907092,0.6357583837762201,0.777199794856766,,ok,
Exathlon_id_25,Exathlon,TimesNet,129197,124861,0,0,16105,113092,40530697446187.84,695506.4199095248,0.8283549910408821,0.45893898810743483,32467819264632.508,644858.5059746304,0.5823707441596727,0.39276188420196495,100454,97871,125,0.7645095450967033,0.4051727732933845,0.6636845515904354,0.51314302570116,0.6351478489881923,0.7585812356979404,,ok,
Exathlon_id_5,Exathlon,TimesNet,129197,124861,0,0,16105,113092,39132643359790.42,681441.8316616328,0.822912255143833,0.4382806954815418,32573471487081.07,638780.6526433652,0.5999384727307994,0.3949325827875906,100454,97871,125,0.7635008749515042,0.40400204039054377,0.6633820646168729,0.5097477283148242,0.6056957183749907,0.770650199782056,,ok,
GECCO,GECCO,TimesNet,138521,133097,0,0,1726,136795,0.9386136629010777,0.32909590576670233,0.4372120435403674,0.31339535022990483,0.2307375398547067,0.29064246440284414,0.20578487649984464,0.27904436776001695,120361,107655,57,0.8472129871660096,0.1398652149998922,0.879882575715519,0.2830062008156401,0.41682482490514866,0.5508644953759549,,ok,
GHL_id_1,GHL,TimesNet,200001,184427,0,0,1850,198151,0.03041575484872391,0.034168503761960956,0.015921651860603545,0.02900063562140877,0.03031124104847873,0.03405448728355497,0.015839368274509557,0.028791969144336897,147864,147332,125,0.4981252230928993,0.009310697218111704,0.5197838057052443,0.00861373657443433,0.027885591007518345,0.4207446808510638,,ok,
GHL_id_13,GHL,TimesNet,200001,184427,0,0,1849,198152,0.025077845153784074,0.029569421215542225,0.008408821327936748,0.024771092377304186,0.025005814864896784,0.029510440785092195,0.008425183624570577,0.02461303122996018,147865,147332,125,0.3691438829888221,0.007459925361518772,0.3943830165253988,0.006861800120401954,0.021361281431883646,0.2222606889388956,,ok,
GHL_id_10,GHL,TimesNet,200001,184427,0,0,1855,198146,0.047296890884752085,0.04189151852057784,0.018176571810303195,0.05216475968994382,0.04731431620759041,0.04192433641462763,0.018241564584279963,0.05234443155151088,147859,147332,125,0.39139983441652365,0.008358002848296606,0.4062948787988168,0.008958891156952052,0.03527117685643216,0.2273924495171203,,ok,
GHL_id_11,GHL,TimesNet,200001,184427,0,0,1546,198455,0.032743060909863834,0.03760571341400459,0.013922647125365503,0.029960979455678594,0.032650628824302294,0.03755691260405174,0.01350879784625601,0.029874163713263936,148168,147499,125,0.40724202810827487,0.006422055619712421,0.42781026775073927,0.005872034624596211,0.019394872603222448,0.11975474228779459,,ok,
GHL_id_15,GHL,TimesNet,200001,184427,0,0,1239,198762,0.031477720960432665,0.03236008637802024,0.012757396289536399,0.022495267379436926,0.03136834478411269,0.032254546877355225,0.012714272376236934,0.02229937086258183,148475,148093,125,0.5362951228231891,0.009468701369528707,0.556128188544733,0.006880690742904041,0.024122377267441042,0.6654135338345865,,ok,
GHL_id_14,GHL,TimesNet,200001,184427,0,0,1771,198230,0.03017665885000062,0.033020148197048724,0.015547914083007926,0.02498316616465901,0.03003292576131132,0.03285714900553932,0.015318679287966203,0.024656628342496923,147943,147407,125,0.26798637165338995,0.0069797252432250295,0.3091818081056429,0.005596454858831583,0.01909309798317228,0.07617695765318193,,ok,
GHL_id_12,GHL,TimesNet,200001,187445,0,0,1051,198950,0.0471419113942397,0.039919636996162466,0.013951206487185484,0.025841676874352223,0.04710218846042928,0.0398568663589585,0.013976431973823408,0.025679307429216716,158912,158625,125,0.3961910711540057,0.0043365513941358794,0.41559185782660535,0.004084524161954774,0.013042462221516426,0.010455058666706457,,ok,
GHL_id_17,GHL,TimesNet,200001,184427,0,0,3583,196418,0.05442107936485753,0.044163174502271585,0.025650152149672988,0.030202305074396304,0.052911256247584366,0.04348104307744246,0.025503898484884543,0.02983907053874845,146131,145332,125,0.41254034968632614,0.015738409608560325,0.43866707539075084,0.01419406082875774,0.051503471378817625,0.15194400764653285,,ok,
GHL_id_16,GHL,TimesNet,200001,184427,0,0,2728,197273,0.04857997522841381,0.03986412309910879,0.014577445142173191,0.026368886910553165,0.04855673560839965,0.0398293179831498,0.014642561310190275,0.02641117683193805,146986,146332,125,0.3921330937880523,0.012646172593690667,0.4193484955497854,0.012414792950920987,0.035401278898326435,0.682883284981031,,ok,
GHL_id_19,GHL,TimesNet,175001,161301,0,0,1129,173872,0.031121706001363877,0.03415113608140735,0.012158339269570467,0.027085581406089843,0.030186028531548992,0.03390878605320653,0.011678958847875513,0.027154814659089716,129835,129453,125,0.3849935768189388,0.005646894923910266,0.4110560260226991,0.005013610101279925,0.018589606197890005,0.062174739102899466,,ok,
GHL_id_2,GHL,TimesNet,200001,184427,0,0,1847,198154,0.035568478661201906,0.035676456888003395,0.017310065744332654,0.02917949674031026,0.03538479689497647,0.035521144329330935,0.01737291096343552,0.028884092167816705,147867,147332,125,0.39966913561823714,0.007811303916994088,0.43295350454367887,0.007004277478010175,0.022512893708226574,0.08974732750242954,,ok,
GHL_id_20,GHL,TimesNet,200001,184427,0,0,1191,198810,0.03127285210523646,0.03200663083969494,0.011420672539154221,0.024933187572028215,0.0311980310254316,0.03192129241339161,0.011447359935436472,0.024877472049936438,148523,148141,125,0.34861201014212573,0.004712007740252305,0.37053878791676476,0.00429727476721346,0.016070082874479006,0.050958411774773234,,ok,
GHL_id_18,GHL,TimesNet,200001,184427,0,0,5549,194452,0.023771484005531963,0.028973553117525256,0.008848719766522429,0.02074711239311279,0.023607549499597435,0.028793973400652016,0.008899766568705536,0.020624603148616586,144165,143337,125,0.21060662867230542,0.018139535200163905,0.23475953725223275,0.01684914439334393,0.05582652793094937,0.5553902608350689,,ok,
GHL_id_21,GHL,TimesNet,200001,184427,0,0,971,199030,0.03204404240035039,0.03232023899350944,0.008661650216681398,0.030756237930162807,0.03197915766052726,0.03226215580700242,0.008646467805161383,0.030829457033734253,148743,148361,125,0.20155804570809002,0.003150763909368543,0.22451233376511537,0.0029260580857619622,0.010158609160799026,0.009663085718835056,,ok,
