dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.556043,0.974957,0.561281,0.974931,0.762168,0.951275,0.374282,0.251719
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.198280,0.864740,0.178283,0.865344,0.319097,0.573833,0.311842,0.131594
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.692066,0.983176,0.675205,0.982678,0.790243,0.991031,0.535117,0.283341
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.697905,0.982596,0.693259,0.982105,0.789505,1.000000,1.113984,0.310362
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.695253,0.982196,0.691068,0.981743,0.789505,1.000000,0.756928,0.294068
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.795853,0.983862,0.791008,0.983466,0.913349,1.000000,1.309848,0.341472
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.764943,0.982823,0.739418,0.981204,0.882110,0.991249,1.247780,0.329252
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.827159,0.978235,0.770631,0.965464,0.887989,0.963079,4258.964003,2.112856
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.702282,0.983062,0.697772,0.982541,0.789973,1.000000,0.926017,0.302638
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.489412,0.861941,0.479337,0.860865,0.610062,0.986840,0.096182,0.162288
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.725690,0.984734,0.720865,0.984274,0.790167,1.000000,1.063319,0.304234
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.196916,0.764772,0.185922,0.743859,0.318252,0.260870,0.124669,0.114048
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.427812,0.865498,0.418086,0.864301,0.574664,0.988567,0.080142,0.134990
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.706233,0.983595,0.702359,0.983111,0.790573,1.000000,1.038144,0.324106
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.785298,0.979671,0.733552,0.973196,0.873293,0.964640,1578.097404,1.356501
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.714227,0.975314,0.692903,0.973624,0.857911,0.994149,0.844601,0.349374
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.737233,0.980758,0.711355,0.979069,0.906540,0.988276,1.160536,0.363863
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.732607,0.977821,0.707123,0.976090,0.865547,0.994876,0.955374,0.349572
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.691281,0.982069,0.687146,0.981567,0.790240,1.000000,0.877140,0.302295
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.745906,0.981293,0.719569,0.979581,0.892196,0.991882,0.888795,0.348650
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.782441,0.985771,0.750825,0.982944,0.725559,1.000000,0.749988,0.339403
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.426024,0.824086,0.470009,0.805188,0.546086,0.758627,0.099107,0.079633
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.404604,0.664267,0.513317,0.764272,0.588118,0.791878,17523927834796.591797,476491.623804
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.553020,0.974990,0.557225,0.975069,0.758789,0.938555,0.328668,0.244176
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.170202,0.776560,0.226082,0.775472,0.267893,0.725843,0.156253,0.200671
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.405552,0.810024,0.405921,0.760283,0.477869,0.688623,0.097665,0.082347
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.765662,0.983570,0.738910,0.981894,0.916882,0.988995,0.886323,0.352499
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.395775,0.663085,0.499344,0.762280,0.576776,0.789374,18897898374296.121094,493065.197323
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.732764,0.974993,0.716254,0.973328,0.871728,1.000000,0.805707,0.344717
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.398346,0.663244,0.504473,0.762829,0.580425,0.788201,18496222664626.011719,484668.956954
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.391679,0.662771,0.493257,0.762248,0.575973,0.791376,19896100135964.027344,497215.211688
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.391588,0.662477,0.491131,0.761974,0.577587,0.780402,19237996128179.257812,497746.209474
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.191235,0.915850,0.379307,0.879148,0.461534,0.540008,0.228430,0.198313
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.007494,0.375896,0.006716,0.349333,0.021793,0.413487,0.015651,0.029628
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.003540,0.259159,0.003314,0.242628,0.011973,0.010455,0.015039,0.025239
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.006544,0.264710,0.005749,0.235181,0.020219,0.354696,0.015447,0.024484
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.005275,0.253450,0.004060,0.219832,0.013366,0.144137,0.015323,0.025858
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.005421,0.323766,0.004972,0.297670,0.016725,0.128733,0.014987,0.025086
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.008722,0.387267,0.023918,0.368701,0.039530,0.245033,0.017158,0.029439
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.009972,0.432690,0.008026,0.396333,0.039840,0.751379,0.013986,0.024400
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.013902,0.336707,0.012213,0.302585,0.041323,0.359340,0.014970,0.023425
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.011145,0.327926,0.009892,0.301796,0.029980,0.684717,0.014402,0.022819
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.004384,0.136125,0.003384,0.099174,0.012848,0.012820,0.014914,0.025985
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.006940,0.373695,0.006246,0.338080,0.019696,0.045993,0.015282,0.025086
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.019656,0.286524,0.018192,0.262596,0.059578,0.610421,0.013511,0.022275
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.003726,0.248150,0.003468,0.217094,0.012016,0.040288,0.013211,0.021325
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.087668,0.970698,0.027761,0.916168,0.087670,0.154589,0.290818,0.195220
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.003104,0.203696,0.002836,0.181060,0.010415,0.009663,0.015451,0.025406
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004176,0.428442,0.003813,0.400390,0.012367,0.079305,0.015952,0.024406
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.447650,0.763883,0.451739,0.728462,0.501476,0.747570,0.100158,0.089420
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.411435,0.791565,0.437867,0.781942,0.463436,0.661976,0.096363,0.088826
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.013474,0.327046,0.012359,0.305900,0.043954,0.396804,0.013588,0.021638
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006336,0.244062,0.005637,0.215913,0.020866,0.105095,0.014674,0.022783
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.009671,0.335390,0.008865,0.304955,0.029474,0.427056,0.015392,0.024294
