dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,iTransformer,46655,42582,0,0,2948,43707,0.3742817720482783,0.2517189456879182,0.18610143558803666,0.25054087318936,0.2959825833651427,0.2374923067820189,0.15992957140152453,0.24291201372250315,31757,30801,10,0.9749306618369226,0.5560431892036956,0.9749574348478366,0.5612805834589409,0.7621675080033733,0.9512746047111972,,ok,
Daphnet,Daphnet,iTransformer,38774,35292,0,0,2306,36468,0.31184163700418205,0.13159358974942717,0.2123325629524605,0.09705104112502871,0.30155856883077226,0.11787062008624448,0.18397537980538448,0.08649997147475595,26488,25099,58,0.865343552036877,0.19827991450301555,0.8647402481342811,0.17828301844296504,0.31909706929139464,0.5738332058148432,,ok,
Exathlon_id_10,Exathlon,iTransformer,46660,42586,0,0,2928,43732,0.5351174848858422,0.28334086111402557,0.39455487723978094,0.28597530574365126,0.4040380039538073,0.2696155969570693,0.32600428040845064,0.27790134004437567,31780,30824,27,0.9826777989907729,0.6920657740793574,0.9831760013151503,0.6752049954507746,0.7902430937107843,0.9910306312404806,,ok,
Exathlon_id_11,Exathlon,iTransformer,46660,42586,0,0,2928,43732,1.113983998746816,0.31036200265215635,0.4232910659154548,0.2965392396857569,0.41380394166070794,0.28117983033542326,0.345871202051105,0.2861049732836627,31780,30824,27,0.9821054323552448,0.6979049237024545,0.9825962624901651,0.6932587187942124,0.7895048300797791,1.0,,ok,
Exathlon_id_12,Exathlon,iTransformer,46660,42586,0,0,2928,43732,0.7569282675628853,0.29406759103703717,0.395338291361925,0.28563810464119427,0.4093282080930085,0.2742549026239262,0.33249868304010394,0.27735196771893333,31780,30824,27,0.9817434020629376,0.6952525664245134,0.9821957329680222,0.6910677589493888,0.7895048300797791,1.0,,ok,
Exathlon_id_1,Exathlon,iTransformer,43066,39262,0,0,5437,37629,1.3098477150773216,0.34147170994705056,0.7497134384053785,0.2718199541922911,0.495407182372771,0.3106462079436619,0.42454584623254393,0.26511743628261514,26576,25907,30,0.9834664126626279,0.7958526072365764,0.9838615557172895,0.7910083954307086,0.9133491004955921,1.0,,ok,
Exathlon_id_13,Exathlon,iTransformer,43066,39262,0,0,5437,37629,1.2477800631512455,0.3292524907324523,0.5659407213889501,0.27652320995208035,0.5601926688227531,0.3081913093016609,0.3871036541280801,0.2736985252006086,26576,25907,125,0.9812041635323931,0.7649425580829423,0.9828228179352202,0.7394182092352912,0.8821098803188427,0.9912488605287146,,ok,
Exathlon_id_14,Exathlon,iTransformer,46660,44228,0,0,5817,40843,4258.964002967429,2.1128557158911168,0.45984759236942163,0.39893483879978875,0.6497901426937427,0.34285080395198636,0.23446564244192053,0.3216910312880922,34550,32828,125,0.9654638494586146,0.8271594022322477,0.9782348846694517,0.7706308843439198,0.8879890930187716,0.9630794701986755,,ok,
Exathlon_id_18,Exathlon,iTransformer,46660,42586,0,0,2928,43732,0.9260170652404817,0.3026383670763637,0.4169952464650399,0.2849837579763701,0.41061415602517465,0.27714115521302174,0.33884365849227793,0.27563274725075587,31780,30824,27,0.9825405918763017,0.7022822318355825,0.9830622599241833,0.6977722609095055,0.7899732907345962,1.0,,ok,
Exathlon_id_2,Exathlon,iTransformer,46656,42876,0,0,3787,42869,0.0961815594972762,0.16228812523336422,0.07136459681257613,0.15447204278784316,0.090419367566817,0.15789032846906825,0.06138260421049055,0.1482755520433144,32085,31224,10,0.8608650898020493,0.48941233437309234,0.8619410216651193,0.4793372533744402,0.6100624400231219,0.9868403908794788,,ok,
Exathlon_id_19,Exathlon,iTransformer,46660,42586,0,0,2928,43732,1.0633186152181469,0.304233516380698,0.4103005554380097,0.28758089856523283,0.4104211041018903,0.2764107242629333,0.3363319477747,0.2767923408374655,31780,30824,27,0.9842740060672581,0.7256895859456245,0.9847343237811146,0.72086506379753,0.7901668822593169,1.0,,ok,
CATSv2_id_1,CATSv2,iTransformer,100000,94455,0,0,2000,98000,0.12466905860910359,0.1140484715408551,0.018763288873886463,0.07837675188694196,0.11806441584994185,0.11303803918388117,0.008575544311825088,0.06655020055942117,81332,80471,97,0.7438589387755102,0.1969160903936257,0.7647715536824577,0.18592163660312122,0.31825236432764203,0.2608695652173913,,ok,
Exathlon_id_20,Exathlon,iTransformer,46650,43406,0,0,3891,42759,0.08014199684138795,0.13499038132225277,0.05337435200851604,0.12014050185104086,0.05663577762976837,0.12549837195437985,0.03639823106435699,0.11311627435715062,33761,32613,10,0.8643012231583529,0.42781223218690134,0.8654984141449887,0.4180864215675727,0.5746642000766216,0.9885670731707317,,ok,
Exathlon_id_23,Exathlon,iTransformer,46660,42586,0,0,2928,43732,1.0381443380848239,0.32410602845662484,0.4356898181951322,0.3033337886854635,0.4235431066739891,0.293765194293454,0.3491354487229439,0.2911835252567658,31780,30824,27,0.9831106390563686,0.706232542588823,0.9835954844889007,0.7023585778283434,0.7905725473399426,1.0,,ok,
Exathlon_id_21,Exathlon,iTransformer,46649,43979,0,0,4856,41793,1578.0974040200415,1.3565014008380822,0.2608059689914795,0.3399244627590904,0.20494886180566574,0.24619833128769553,0.17431677130281958,0.2970194776197007,34708,33273,125,0.9731962204598952,0.785297622181729,0.9796713140670082,0.733551807041309,0.8732930666810277,0.9646404449741756,,ok,
Exathlon_id_22,Exathlon,iTransformer,43066,39262,0,0,5437,37629,0.8446011249050481,0.34937419296295447,0.5819560333106119,0.3244394430594237,0.6502965476043799,0.33518741493349535,0.38831942708934764,0.31543929186464986,26576,25907,125,0.9736243524837248,0.7142272217304386,0.975314116149651,0.6929031769357681,0.8579107632865702,0.9941488389102212,,ok,
Exathlon_id_24,Exathlon,iTransformer,43066,39262,0,0,5437,37629,1.1605358471339402,0.36386284578933764,0.5846691914592415,0.335217146759609,0.6745018703936484,0.34247091779532435,0.39531894789637045,0.3303911258036715,26576,25907,125,0.9790694922103608,0.7372333300553524,0.9807575212845118,0.7113549420837728,0.9065402889224844,0.988275924747796,,ok,
Exathlon_id_3,Exathlon,iTransformer,43066,39262,0,0,5437,37629,0.9553739432633984,0.3495718165923454,0.5761870635379341,0.30780899315851445,0.6452840269515854,0.33348673809130425,0.39604933066130643,0.3039795194658892,26576,25907,125,0.9760895354264941,0.73260721802288,0.9778214924917957,0.707122985742134,0.8655467032251578,0.9948764867337603,,ok,
Exathlon_id_4,Exathlon,iTransformer,46660,42586,0,0,2928,43732,0.8771403129914852,0.3022946904053406,0.40242563537861176,0.28769141240409524,0.40845771784419754,0.2775091956926879,0.33513922495278387,0.2779106367604939,31780,30824,27,0.9815665455364243,0.6912807384177286,0.9820685315660989,0.6871456456180094,0.7902404345261751,1.0,,ok,
Exathlon_id_27,Exathlon,iTransformer,43066,39262,0,0,5437,37629,0.8887945949257273,0.34864954646012486,0.5726023316063257,0.30455137819750594,0.662509899825871,0.33560604860987,0.38788794401894544,0.3015005894766512,26576,25907,125,0.9795807859012939,0.7459056009195584,0.9812929435439296,0.7195685730776886,0.8921964840336957,0.9918817841831615,,ok,
Exathlon_id_6,Exathlon,iTransformer,46660,42586,0,0,2928,43732,0.7499878830056685,0.3394034980406293,0.4768731339703214,0.39759473265890594,0.5164731252333247,0.32773388634826106,0.4734692189865488,0.39493789423926734,31780,30824,125,0.9829439975054217,0.7824411234764188,0.9857713560066376,0.7508248319317996,0.7255590272623614,1.0,,ok,
