dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.748500,0.990607,0.743235,0.990442,0.880879,0.982667,0.374282,0.251719
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.147143,0.809868,0.129686,0.811120,0.289559,0.377047,0.311842,0.131594
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.759256,0.988576,0.751726,0.988062,0.852478,1.000000,0.756928,0.294068
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.757771,0.988594,0.750852,0.988084,0.851179,1.000000,1.113984,0.310362
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.747413,0.988671,0.728050,0.988140,0.852810,0.991031,0.535117,0.283341
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.808347,0.985798,0.803096,0.985446,0.935326,1.000000,1.309848,0.341472
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.744596,0.975054,0.712064,0.973114,0.809069,0.998898,1.247780,0.329252
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.826565,0.975912,0.769106,0.958466,0.887989,0.963079,4258.964003,2.112856
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.317553,0.556349,0.310539,0.554120,0.423935,0.987098,0.096182,0.162288
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.764487,0.988769,0.757687,0.988268,0.852736,1.000000,1.063319,0.304234
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.756704,0.988532,0.750628,0.988034,0.850054,1.000000,0.926017,0.302638
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.233757,0.458485,0.224071,0.455975,0.389872,0.997309,0.080142,0.134990
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.115967,0.746890,0.120586,0.725440,0.205815,0.720222,0.124669,0.114048
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.788581,0.981752,0.735730,0.974674,0.872750,0.964640,1578.097404,1.356501
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.756037,0.988565,0.750140,0.988078,0.851995,1.000000,1.038144,0.324106
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.711937,0.971066,0.677728,0.969114,0.802814,0.995696,0.844601,0.349374
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.696115,0.968925,0.661056,0.966942,0.795481,0.993967,1.160536,0.363863
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.723292,0.973269,0.688089,0.971370,0.811926,0.994603,0.888795,0.348650
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.749925,0.988367,0.743538,0.987884,0.853152,1.000000,0.877140,0.302295
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.715021,0.971237,0.679925,0.969241,0.796451,0.993241,0.955374,0.349572
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.661389,0.967943,0.607465,0.963875,0.637488,0.999488,0.749988,0.339403
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.404876,0.664995,0.513560,0.765502,0.588118,0.791878,17523927834796.591797,476491.623804
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.758329,0.991052,0.753399,0.990860,0.884042,0.995441,0.328668,0.244176
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.267705,0.776168,0.323735,0.759973,0.365569,0.703916,0.099107,0.079633
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.722492,0.971738,0.688685,0.969744,0.798417,0.997889,0.886323,0.352499
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.720612,0.971759,0.688380,0.969832,0.801296,0.999357,0.805707,0.344717
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.396157,0.664096,0.499652,0.763688,0.576776,0.789374,18897898374296.121094,493065.197323
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.152276,0.739903,0.199722,0.736778,0.230262,0.759975,0.156253,0.200671
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.267596,0.735673,0.319071,0.693872,0.394844,0.709001,0.097665,0.082347
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.392045,0.663921,0.493617,0.763963,0.575973,0.791376,19896100135964.027344,497215.211688
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.398734,0.664313,0.504800,0.764325,0.580425,0.788201,18496222664626.011719,484668.956954
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.391950,0.663510,0.491451,0.763460,0.577587,0.780402,19237996128179.257812,497746.209474
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.224890,0.926816,0.388348,0.888764,0.460568,0.540008,0.228430,0.198313
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.006124,0.136577,0.004794,0.101665,0.018330,0.038527,0.015651,0.029628
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.004158,0.125950,0.002819,0.101174,0.010455,0.039971,0.015039,0.025239
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.005838,0.278288,0.004599,0.244041,0.015341,0.057490,0.014987,0.025086
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.006519,0.250551,0.005054,0.205586,0.017554,0.084111,0.013986,0.024400
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.006068,0.176251,0.004981,0.147950,0.018379,0.018380,0.017158,0.029439
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.005163,0.409301,0.004641,0.385318,0.016742,0.100957,0.015323,0.025858
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.006000,0.135674,0.004796,0.101152,0.018320,0.062294,0.015447,0.024484
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.005756,0.422777,0.005199,0.403412,0.019154,0.012820,0.014914,0.025985
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.011450,0.143365,0.009313,0.101601,0.035199,0.096757,0.014970,0.023425
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.008750,0.147988,0.007139,0.114080,0.026913,0.059445,0.014402,0.022819
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.006549,0.235168,0.005172,0.192084,0.018301,0.066370,0.015282,0.025086
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.016533,0.151186,0.014660,0.123246,0.053992,0.184264,0.013511,0.022275
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.004700,0.175673,0.003194,0.140576,0.011839,0.059350,0.013211,0.021325
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.012950,0.788472,0.003294,0.568698,0.008939,0.018626,0.290818,0.195220
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.004149,0.029903,0.002435,0.004117,0.009663,0.009663,0.015451,0.025406
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004788,0.257490,0.003114,0.217794,0.010039,0.129608,0.015952,0.024406
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.010507,0.212028,0.008765,0.177264,0.030953,0.233602,0.015231,0.026358
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006684,0.136919,0.004980,0.103306,0.019007,0.080621,0.014674,0.022783
