dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.842815,0.993453,0.841739,0.993277,0.919976,0.999153,0.358450,0.262198
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.209342,0.880412,0.187255,0.877050,0.360762,0.543291,0.320984,0.147878
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.851053,0.994516,0.842968,0.993919,0.917757,1.000000,0.602370,0.335757
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.885155,0.995759,0.874652,0.995208,0.931556,1.000000,0.768854,0.321388
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.946666,0.997556,0.942114,0.997086,0.930860,1.000000,0.525750,0.317429
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.951916,0.997237,0.945624,0.996915,0.976043,1.000000,0.741264,0.375827
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.962972,0.997882,0.935926,0.996404,0.976782,1.000000,1.204203,0.385722
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.865031,0.976486,0.835631,0.959011,0.890900,0.986852,277.298624,0.849056
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.844695,0.981360,0.841169,0.980308,0.928650,0.999208,0.101436,0.170092
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.927214,0.997061,0.917100,0.996465,0.932190,1.000000,0.730471,0.327276
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.177746,0.757266,0.191589,0.743644,0.306834,0.739477,0.111999,0.090125
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.850242,0.994676,0.840376,0.994066,0.927645,1.000000,0.714402,0.366810
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.868489,0.972910,0.869405,0.971927,0.918411,1.000000,0.067429,0.116718
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.797754,0.984106,0.744386,0.978104,0.875662,0.971491,184.415662,0.549807
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.845270,0.993442,0.839896,0.992866,0.908100,1.000000,0.568449,0.313639
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.921579,0.995226,0.893958,0.993738,0.969599,1.000000,1.179860,0.380110
