dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.856573,0.993795,0.856012,0.993631,0.893401,1.000000,0.295184,0.223462
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.759971,0.989317,0.751698,0.988805,0.850054,0.998295,0.536992,0.275276
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.734996,0.988600,0.721889,0.988058,0.855200,0.996427,0.633051,0.276684
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.754063,0.989049,0.749212,0.988511,0.851254,0.999317,0.923534,0.302668
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.207043,0.874550,0.186554,0.872529,0.342991,0.577320,0.371458,0.158649
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.786010,0.984288,0.772654,0.983917,0.926404,0.991430,0.739785,0.327917
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.728103,0.972304,0.703225,0.970220,0.792021,1.000000,0.897165,0.350340
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.805384,0.972165,0.744182,0.954313,0.876294,0.962283,1498.636666,1.314220
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.284082,0.517639,0.272838,0.515496,0.429356,0.981978,0.108843,0.194576
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.736208,0.988379,0.735425,0.987825,0.850536,1.000000,0.688283,0.282403
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.729769,0.988232,0.722966,0.987693,0.849209,0.998295,0.545977,0.275700
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.236557,0.418656,0.242013,0.416045,0.389115,0.974455,0.096808,0.165581
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.054217,0.677993,0.051144,0.657779,0.123995,0.682236,0.104567,0.102564
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.737191,0.988728,0.714319,0.988104,0.854779,0.987022,0.518759,0.272914
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.739159,0.976013,0.693009,0.966567,0.870290,0.950201,2328.760040,1.683941
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.745953,0.976171,0.711071,0.974134,0.827764,0.992244,1.059942,0.371870
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.745026,0.975864,0.710051,0.973822,0.825374,0.993059,1.090447,0.372154
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.749837,0.976854,0.717631,0.974814,0.834330,0.998256,1.058229,0.366536
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.733749,0.988457,0.711714,0.987882,0.848965,0.987521,0.492864,0.274142
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.740958,0.975200,0.706516,0.973207,0.821362,0.993785,0.911255,0.364627
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.668562,0.966263,0.614057,0.961267,0.649827,1.000000,0.662181,0.353935
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.413881,0.666213,0.522659,0.767344,0.621673,0.782532,21295781957642.867188,487215.079034
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.848040,0.993535,0.846979,0.993320,0.897554,1.000000,0.287794,0.218033
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.723885,0.971893,0.689646,0.969773,0.799045,0.993241,0.914993,0.359121
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.243925,0.779164,0.279146,0.759820,0.321341,0.764088,0.094115,0.082730
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.708806,0.968607,0.674773,0.966360,0.774443,0.995150,0.979472,0.368041
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.414275,0.666343,0.522785,0.767036,0.626144,0.783746,18618531215457.195312,454139.901987
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.181814,0.744714,0.238648,0.724629,0.261638,0.803482,0.098875,0.132933
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.203639,0.740831,0.253482,0.704639,0.343952,0.621601,0.089465,0.085113
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.408191,0.665423,0.514319,0.765871,0.609742,0.783052,20297031510031.578125,459369.583944
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.409604,0.666203,0.517545,0.767474,0.623666,0.783427,19008758139992.609375,455237.324284
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.392496,0.663848,0.493051,0.763603,0.594718,0.787674,20405496860453.730469,475863.980450
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.230785,0.911522,0.380299,0.880320,0.471481,0.539370,0.199418,0.191542
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.006133,0.135352,0.004788,0.100202,0.018330,0.112095,0.020777,0.035038
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.004278,0.105066,0.002789,0.080342,0.010455,0.010455,0.029287,0.041881
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.005885,0.258466,0.004502,0.225253,0.015341,0.084505,0.027062,0.042571
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.005085,0.408874,0.004606,0.385270,0.016730,0.094526,0.027812,0.044082
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.006027,0.138540,0.004801,0.104387,0.018320,0.090678,0.024856,0.039195
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.006085,0.174239,0.004979,0.147172,0.018379,0.034323,0.023188,0.041290
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.006366,0.233362,0.004928,0.187461,0.017554,0.205631,0.024592,0.041705
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.005231,0.373558,0.004724,0.351118,0.018100,0.031031,0.024387,0.038668
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.008649,0.145319,0.007117,0.110929,0.026913,0.099069,0.021530,0.035278
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.011410,0.146718,0.009335,0.105595,0.035199,0.263047,0.028633,0.046061
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.006591,0.239816,0.005208,0.196975,0.018301,0.066941,0.022973,0.038711
