dataset_id,family,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,46655,42582,0,0,2948,43707,0.3742817720482783,0.2517189456879182,0.1861014355880366,0.25054087318936,0.2959825833651427,0.2374923067820189,0.1599295714015245,0.2429120137225031,31757,30801,10,0.9749306618369226,0.5560431892036956,0.9749574348478366,0.5612805834589409,0.7621675080033733,0.9512746047111972,,ok,
Daphnet,Daphnet,38774,35292,0,0,2306,36468,0.311841637004182,0.1315935897494271,0.2123325629524605,0.0970510411250287,0.3015585688307722,0.1178706200862444,0.1839753798053844,0.0864999714747559,26488,25099,58,0.865343552036877,0.1982799145030155,0.8647402481342811,0.178283018442965,0.3190970692913946,0.5738332058148432,,ok,
Exathlon_id_12,Exathlon,46660,42586,0,0,2928,43732,0.7569282675628853,0.2940675910370371,0.395338291361925,0.2856381046411942,0.4093282080930085,0.2742549026239262,0.3324986830401039,0.2773519677189333,31780,30824,27,0.9817434020629376,0.6952525664245134,0.9821957329680222,0.6910677589493888,0.7895048300797791,1.0,,ok,
Exathlon_id_11,Exathlon,46660,42586,0,0,2928,43732,1.113983998746816,0.3103620026521563,0.4232910659154548,0.2965392396857569,0.4138039416607079,0.2811798303354232,0.345871202051105,0.2861049732836627,31780,30824,27,0.9821054323552448,0.6979049237024545,0.9825962624901652,0.6932587187942124,0.7895048300797791,1.0,,ok,
Exathlon_id_10,Exathlon,46660,42586,0,0,2928,43732,0.5351174848858422,0.2833408611140255,0.3945548772397809,0.2859753057436512,0.4040380039538073,0.2696155969570693,0.3260042804084506,0.2779013400443756,31780,30824,27,0.9826777989907728,0.6920657740793574,0.9831760013151504,0.6752049954507746,0.7902430937107843,0.9910306312404806,,ok,
Exathlon_id_1,Exathlon,43066,39262,0,0,5437,37629,1.3098477150773216,0.3414717099470505,0.7497134384053785,0.2718199541922911,0.495407182372771,0.3106462079436619,0.4245458462325439,0.2651174362826151,26576,25907,30,0.983466412662628,0.7958526072365764,0.9838615557172896,0.7910083954307086,0.913349100495592,1.0,,ok,
Exathlon_id_13,Exathlon,43066,39262,0,0,5437,37629,1.2477800631512457,0.3292524907324523,0.5659407213889501,0.2765232099520803,0.5601926688227531,0.3081913093016609,0.3871036541280801,0.2736985252006086,26576,25907,125,0.9812041635323931,0.7649425580829423,0.9828228179352202,0.7394182092352912,0.8821098803188427,0.9912488605287146,,ok,
Exathlon_id_14,Exathlon,46660,44228,0,0,5817,40843,4258.964002967429,2.1128557158911168,0.4598475923694216,0.3989348387997887,0.6497901426937427,0.3428508039519863,0.2344656424419205,0.3216910312880922,34550,32828,125,0.9654638494586146,0.8271594022322477,0.9782348846694516,0.7706308843439198,0.8879890930187716,0.9630794701986756,,ok,
Exathlon_id_2,Exathlon,46656,42876,0,0,3787,42869,0.0961815594972762,0.1622881252333642,0.0713645968125761,0.1544720427878431,0.090419367566817,0.1578903284690682,0.0613826042104905,0.1482755520433144,32085,31224,10,0.8608650898020493,0.4894123343730923,0.8619410216651193,0.4793372533744402,0.6100624400231219,0.9868403908794788,,ok,
Exathlon_id_19,Exathlon,46660,42586,0,0,2928,43732,1.0633186152181469,0.304233516380698,0.4103005554380097,0.2875808985652328,0.4104211041018903,0.2764107242629333,0.3363319477747,0.2767923408374655,31780,30824,27,0.984274006067258,0.7256895859456245,0.9847343237811146,0.72086506379753,0.7901668822593169,1.0,,ok,
Exathlon_id_18,Exathlon,46660,42586,0,0,2928,43732,0.9260170652404816,0.3026383670763637,0.4169952464650399,0.2849837579763701,0.4106141560251746,0.2771411552130217,0.3388436584922779,0.2756327472507558,31780,30824,27,0.9825405918763016,0.7022822318355825,0.9830622599241832,0.6977722609095055,0.7899732907345962,1.0,,ok,
Exathlon_id_20,Exathlon,46650,43406,0,0,3891,42759,0.0801419968413879,0.1349903813222527,0.053374352008516,0.1201405018510408,0.0566357776297683,0.1254983719543798,0.0363982310643569,0.1131162743571506,33761,32613,10,0.8643012231583529,0.4278122321869013,0.8654984141449887,0.4180864215675727,0.5746642000766216,0.9885670731707316,,ok,
CATSv2_id_1,CATSv2,100000,94455,0,0,2000,98000,0.1246690586091035,0.1140484715408551,0.0187632888738864,0.0783767518869419,0.1180644158499418,0.1130380391838811,0.008575544311825,0.0665502005594211,81332,80471,97,0.7438589387755102,0.1969160903936257,0.7647715536824577,0.1859216366031212,0.318252364327642,0.2608695652173913,,ok,
Exathlon_id_21,Exathlon,46649,43979,0,0,4856,41793,1578.0974040200415,1.3565014008380822,0.2608059689914795,0.3399244627590904,0.2049488618056657,0.2461983312876955,0.1743167713028195,0.2970194776197007,34708,33273,125,0.9731962204598952,0.785297622181729,0.9796713140670082,0.733551807041309,0.8732930666810277,0.9646404449741756,,ok,
Exathlon_id_23,Exathlon,46660,42586,0,0,2928,43732,1.038144338084824,0.3241060284566248,0.4356898181951322,0.3033337886854635,0.4235431066739891,0.293765194293454,0.3491354487229439,0.2911835252567658,31780,30824,27,0.9831106390563686,0.706232542588823,0.9835954844889008,0.7023585778283434,0.7905725473399426,1.0,,ok,
Exathlon_id_22,Exathlon,43066,39262,0,0,5437,37629,0.8446011249050481,0.3493741929629544,0.5819560333106119,0.3244394430594237,0.6502965476043799,0.3351874149334953,0.3883194270893476,0.3154392918646498,26576,25907,125,0.9736243524837248,0.7142272217304386,0.975314116149651,0.6929031769357681,0.8579107632865702,0.9941488389102212,,ok,
Exathlon_id_24,Exathlon,43066,39262,0,0,5437,37629,1.1605358471339402,0.3638628457893376,0.5846691914592415,0.335217146759609,0.6745018703936484,0.3424709177953243,0.3953189478963704,0.3303911258036715,26576,25907,125,0.9790694922103608,0.7372333300553524,0.9807575212845118,0.7113549420837728,0.9065402889224844,0.988275924747796,,ok,
Exathlon_id_27,Exathlon,43066,39262,0,0,5437,37629,0.8887945949257273,0.3486495464601248,0.5726023316063257,0.3045513781975059,0.662509899825871,0.33560604860987,0.3878879440189454,0.3015005894766512,26576,25907,125,0.979580785901294,0.7459056009195584,0.9812929435439296,0.7195685730776886,0.8921964840336957,0.9918817841831616,,ok,
Exathlon_id_4,Exathlon,46660,42586,0,0,2928,43732,0.8771403129914852,0.3022946904053406,0.4024256353786117,0.2876914124040952,0.4084577178441975,0.2775091956926879,0.3351392249527838,0.2779106367604939,31780,30824,27,0.9815665455364244,0.6912807384177286,0.9820685315660987,0.6871456456180094,0.7902404345261751,1.0,,ok,
Exathlon_id_3,Exathlon,43066,39262,0,0,5437,37629,0.9553739432633984,0.3495718165923454,0.5761870635379341,0.3078089931585144,0.6452840269515854,0.3334867380913042,0.3960493306613064,0.3039795194658892,26576,25907,125,0.976089535426494,0.73260721802288,0.9778214924917956,0.707122985742134,0.8655467032251578,0.9948764867337604,,ok,
Exathlon_id_6,Exathlon,46660,42586,0,0,2928,43732,0.7499878830056685,0.3394034980406293,0.4768731339703214,0.3975947326589059,0.5164731252333247,0.327733886348261,0.4734692189865488,0.3949378942392673,31780,30824,125,0.9829439975054216,0.7824411234764188,0.9857713560066376,0.7508248319317996,0.7255590272623614,1.0,,ok,
