dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,auroc_D_w,vus_pr_D_w,vus_roc_D_w,auc_pr_D_w,standard_f1_D_w,pa_f1_D_w,sliding_window,vus_error_D_w,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,auroc_raw_max,auroc_raw_mean,auroc_raw_median,auroc_z_train_max,auroc_z_train_mean,auroc_z_train_median,vus_pr_raw_max,vus_pr_raw_mean,vus_pr_raw_median,vus_pr_z_train_max,vus_pr_z_train_mean,vus_pr_z_train_median,vus_roc_raw_max,vus_roc_raw_mean,vus_roc_raw_median,vus_roc_z_train_max,vus_roc_z_train_mean,vus_roc_z_train_median,auc_pr_raw_max,auc_pr_raw_mean,auc_pr_raw_median,auc_pr_z_train_max,auc_pr_z_train_mean,auc_pr_z_train_median,standard_f1_raw_max,standard_f1_raw_mean,standard_f1_raw_median,standard_f1_z_train_max,standard_f1_z_train_mean,standard_f1_z_train_median,pa_f1_raw_max,pa_f1_raw_mean,pa_f1_raw_median,pa_f1_z_train_max,pa_f1_z_train_mean,pa_f1_z_train_median,n_kept_train_baseline,status,error
Exathlon_id_16,Exathlon,DLinear,46655,42582,0,0,2948,43707,0.35844956313376647,0.2621976844118799,0.1987122634295459,0.2829871942461518,0.3203636269836776,0.25219841113639613,0.1783080934441293,0.27896999972456993,31757,30801,0.9932774865462652,0.842814655614885,0.9934533333144081,0.8417386759351735,0.9199760072283762,0.9991526859854262,10,,0.9747918085584035,0.5656564894075327,0.9749008305510517,0.5712245585691359,0.7638367678412334,0.9794019933554817,,0.9932774865462652,0.9950084997671214,0.9957296970677969,0.9747918085584035,0.9826505346957175,0.9984731649721615,0.842814655614885,0.8830711421065054,0.917975164575918,0.5656564894075327,0.6631547576925898,0.9702601614664527,0.9934533333144081,0.9951575864111141,0.9958148512589298,0.9749008305510517,0.982756783417138,0.9985714395570485,0.8417386759351735,0.8820769782703944,0.9200340417613749,0.5712245585691359,0.6700713925493087,0.9702683291159284,0.9199760072283762,0.9279950160672149,0.9231450771062745,0.7638367678412334,0.7763744395735003,0.9452984101297349,0.9991526859854262,0.999830422248601,1.0,0.9794019933554817,0.9867782426778242,1.0,12,ok,
Daphnet,Daphnet,DLinear,38774,35292,0,0,2306,36468,0.32098372681091936,0.14787751143505898,0.21883232865062718,0.10853841431476198,0.30851036556110034,0.13334533468058332,0.1873847615243829,0.09767249484012815,26488,25099,0.8770499265546736,0.20934159842146868,0.8804120551913281,0.18725528351218476,0.36076158226649657,0.5432913181764637,58,,0.9045793905403029,0.29603182303648595,0.9075989755845693,0.26693621232640846,0.39124688608654556,0.691085003455425,,0.8770499265546736,0.8897143342579045,0.9228194072603996,0.9045793905403029,0.9042211537190086,0.920528622748635,0.20934159842146868,0.24121043381697146,0.3343280604120063,0.29603182303648595,0.2850909594926006,0.32946134633274754,0.8804120551913281,0.890789734972029,0.9250333388736004,0.9075989755845693,0.9046794379592532,0.9232500535477617,0.18725528351218476,0.2134787634660372,0.3146107150842862,0.26693621232640846,0.25871274515370823,0.30003449028084594,0.36076158226649657,0.3516469992084494,0.42436567267212044,0.39124688608654556,0.37825892988979803,0.4122340515340491,0.5432913181764637,0.589159465828751,0.7024116132053383,0.691085003455425,0.6954102920723226,0.7127583749109052,9,ok,
Exathlon_id_11,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.6023703729282172,0.33575676737049115,0.41174025954950655,0.306655259761095,0.5070953227201863,0.323527637001097,0.3139284502946121,0.29869614618443435,31780,30824,0.9939190594075489,0.8510534677153484,0.9945163150488002,0.8429680699472484,0.9177565697656201,1.0,27,,0.9937046464456384,0.8494069822700793,0.9943206908907041,0.8412995506815603,0.9177565697656201,1.0,,0.9939190594075489,0.9941424612355735,0.9979353956837949,0.9937046464456384,0.9940122124874858,0.9974073251808456,0.8510534677153484,0.8534217135647238,0.9568702034590597,0.8494069822700793,0.8623151137875105,0.9483132524122511,0.9945163150488002,0.9947101295386653,0.9982613129963092,0.9943206908907041,0.9946157376539999,0.9978013262187139,0.8429680699472484,0.8459492244570492,0.9510482217390177,0.8412995506815603,0.8531233165380362,0.9410446304778549,0.9177565697656201,0.9217003135955169,0.9470674495556947,0.9177565697656201,0.9161410115348545,0.9448872587699773,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
Exathlon_id_12,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7688537057485698,0.32138761708697205,0.41759612278658975,0.29677229908427805,0.4467369790708099,0.3001703271655961,0.3295947745363378,0.286583291442139,31780,30824,0.9952077785383301,0.8851551117158019,0.9957589596642217,0.8746522371037262,0.9315558150756734,1.0,27,,0.9950397312568008,0.883990470763797,0.9956126662823529,0.8733797576974113,0.9315558150756734,1.0,,0.9952077785383301,0.9953677272497812,0.9979220646721038,0.9950397312568008,0.9951909019617252,0.9976523362117699,0.8851551117158019,0.8874615971115288,0.9548762876448041,0.883990470763797,0.888882102926729,0.9489397527427593,0.9957589596642217,0.9959223388623639,0.9982719492092874,0.9956126662823529,0.9957645341673131,0.9980460987988007,0.8746522371037262,0.8762513468137526,0.9478873817795443,0.8733797576974113,0.878089562375497,0.9416380668304147,0.9315558150756734,0.9330658739184577,0.9502694088898053,0.9315558150756734,0.927398540783053,0.9514900203483069,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
Exathlon_id_10,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.5257496887705759,0.31742863431109497,0.40756060918338083,0.3083451778677273,0.4707907869951437,0.3094807697285096,0.3454106285760634,0.3015363251523567,31780,30824,0.9970862406965627,0.9466660052117647,0.997555806498763,0.9421135177449934,0.930860014833465,1.0,27,,0.9970283792638619,0.946505557089233,0.9975195031647368,0.9419077875516922,0.930860014833465,1.0,,0.9970862406965627,0.997313188089501,0.9989653510527859,0.9970283792638619,0.9971444145138372,0.9988579532362791,0.9466660052117647,0.9494976903439865,0.9828287875832845,0.946505557089233,0.9484071794549223,0.9827880837680978,0.997555806498763,0.9977938362052733,0.9991772663872487,0.9975195031647368,0.9976312816506897,0.9991134536735365,0.9421135177449934,0.9446384985958165,0.9813455221025379,0.9419077875516922,0.9435307572408322,0.9805236630900098,0.930860014833465,0.93280133046464,0.9547468934932715,0.930860014833465,0.9313402482625069,0.954502303796899,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
Exathlon_id_1,Exathlon,DLinear,43066,39262,0,0,5437,37629,0.7412639985187062,0.3758270429930902,0.6348702327828429,0.32215337859070087,0.5591999949329325,0.3595532954839259,0.46511896147979515,0.31527005500497174,26576,25907,0.9969150228419313,0.9519163945563359,0.9972369939136643,0.9456238372446097,0.9760434537507419,1.0,30,,0.9968931790342282,0.951849564061612,0.9972245757144658,0.9455166381642814,0.9760434537507419,1.0,,0.9969150228419313,0.9969874999018152,0.998271191415185,0.9968931790342282,0.9969743027031583,0.998400357775078,0.9519163945563359,0.9532834703706903,0.9857599633919444,0.951849564061612,0.9532721391132454,0.9829977762298663,0.9972369939136643,0.9973137548184705,0.9986868911220297,0.9972245757144658,0.9973108340229686,0.9987829153236712,0.9456238372446097,0.94668023740641,0.9827682809007504,0.9455166381642814,0.9465310172236436,0.9786990279773204,0.9760434537507419,0.9769864750060138,0.9809508690105375,0.9760434537507419,0.976696522714971,0.9710723695407485,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
Exathlon_id_13,Exathlon,DLinear,43066,39262,0,0,5437,37629,1.204202529296294,0.3857223571259279,0.6107200664168271,0.3222940642282919,0.6766189123975823,0.36606673327657163,0.41950399853232767,0.3150169775186639,26576,25907,0.9964039882071202,0.9629721152699338,0.9978817657837888,0.9359261648273597,0.9767816936933821,1.0,125,,0.9932702718392706,0.9189789830382981,0.9948615860496943,0.8926603472037614,0.9652076912847124,1.0,,0.9964039882071202,0.9964965836631791,0.9973052297912605,0.9932702718392706,0.9947482921028652,0.9978469796839831,0.9629721152699338,0.9641009152545167,0.9839098659646418,0.9189789830382981,0.9466560715337915,0.9873305787364604,0.9978817657837888,0.9979530760392893,0.9984636749828782,0.9948615860496943,0.9962891820344827,0.9990344803641553,0.9359261648273597,0.9371733097353437,0.9684944729028039,0.8926603472037614,0.9205119697420913,0.9683307661457716,0.9767816936933821,0.9776833688768395,0.9682661395438799,0.9652076912847124,0.9694724035788721,0.9759657631414541,1.0,1.0,1.0,1.0,1.0,1.0,31,ok,
Exathlon_id_14,Exathlon,DLinear,46660,44228,0,0,5817,40843,277.29862410734484,0.8490563127707271,0.3253084115138253,0.41551914904588483,0.7879732395391674,0.3908943050313881,0.3132447024075051,0.3692909832872662,34550,32828,0.9590111433177215,0.8650306094485758,0.976486008552148,0.8356309349629099,0.8908996013481518,0.9868521503096107,125,,0.9605788011637886,0.8656474559684634,0.9770431532987313,0.8364710367562463,0.8908996013481518,0.9868521503096107,,0.9590111433177215,0.9579323489115505,0.9684908496533375,0.9605788011637886,0.958101464026592,0.9677273083147263,0.8650306094485758,0.8660900031654616,0.961071541131567,0.8656474559684634,0.8658468195009656,0.9695960917037817,0.976486008552148,0.9764762227903873,0.9861295180200925,0.9770431532987313,0.976364308648772,0.9859581266403371,0.8356309349629099,0.8364779179888567,0.9325296241943711,0.8364710367562463,0.8363607346093072,0.9460655444418231,0.8908996013481518,0.8909730719240556,0.9219641929464867,0.8908996013481518,0.8911542736730466,0.9177020071136065,0.9868521503096107,0.9868521503096107,1.0,0.9868521503096107,0.9868521503096107,1.0,16,ok,
Exathlon_id_2,Exathlon,DLinear,46656,42876,0,0,3787,42869,0.10143612569393519,0.1700918347301389,0.06799838432611008,0.15944110852237667,0.098398848800407,0.16662318396206724,0.06382762227174926,0.1547263062092424,32085,31224,0.9803080697889235,0.8446945188979709,0.9813599167513235,0.8411685976682068,0.9286502766201572,0.9992084432717678,10,,0.9745902124195424,0.8442749327961667,0.9756713975134548,0.841197777904423,0.9299845512796614,0.9990766389658357,,0.9803080697889235,0.9835191653660971,0.9511561105186039,0.9745902124195424,0.9783662533587518,0.9731312506928538,0.8446945188979709,0.8089603702212973,0.7902659302768155,0.8442749327961667,0.801909379410215,0.7862082229126066,0.9813599167513235,0.9845851911368844,0.9522348396710935,0.9756713975134548,0.979365987686548,0.974216631041593,0.8411685976682068,0.8075539896028503,0.7895908629124926,0.841197777904423,0.8011634398722731,0.7841465637313751,0.9286502766201572,0.9261764877828477,0.914280716479247,0.9299845512796614,0.9258148865279684,0.9159939684143404,0.9992084432717678,0.9872262773722628,0.9948771837646132,0.9990766389658357,0.9864548059390467,0.9872262773722628,8,ok,
Exathlon_id_18,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7304708990868187,0.32727558232585907,0.4121759085978742,0.3168225195020762,0.45593908916409,0.3076592328562863,0.3443883769160322,0.30678738491218593,31780,30824,0.9964651264482773,0.9272135914238607,0.9970605120739595,0.9171003895504365,0.9321900493344513,1.0,27,,0.9962909095714133,0.9260057154967062,0.9969014567659117,0.9158415851061883,0.9321900493344513,1.0,,0.9964651264482773,0.9967148466766528,0.9989785727298763,0.9962909095714133,0.9965209339524046,0.9987593490455275,0.9272135914238607,0.9303969192039779,0.9839172836021304,0.9260057154967062,0.9303603882935905,0.9825287203973289,0.9970605120739595,0.997307036622793,0.9992181070805614,0.9969014567659117,0.9971190464369829,0.9991124658948696,0.9171003895504365,0.9200490091443219,0.981384694570237,0.9158415851061883,0.9211191659964886,0.9791396687418158,0.9321900493344513,0.9356810217405114,0.9576886199562826,0.9321900493344513,0.9314700330877445,0.9551329722966332,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
CATSv2_id_1,CATSv2,DLinear,100000,94455,0,0,2000,98000,0.11199885741410723,0.09012501976706846,0.010592501681944718,0.048866560146811344,0.1074118910311934,0.08939050812359987,0.003643565609280622,0.047362211028223404,81332,80471,0.7436439209183674,0.17774593562768976,0.7572660632764961,0.19158862254165884,0.3068336578636978,0.7394766780432309,97,,0.4965812295918367,0.050010909148981667,0.4985282792983166,0.0764868586755683,0.1850330572574827,0.2608695652173913,,0.7436439209183674,0.7802032551020408,0.5719154872448979,0.4965812295918367,0.6057527806122449,0.5844519081632653,0.17774593562768976,0.1580747295841309,0.030835684015532216,0.050010909148981667,0.08782047412592013,0.026435268301897154,0.7572660632764961,0.7951734816022087,0.4382774187758296,0.4985282792983166,0.6197360441228228,0.5269263250200679,0.19158862254165884,0.16522192323518753,0.03768281433311166,0.0764868586755683,0.0948455254071596,0.02613378108533794,0.3068336578636978,0.2682241754401011,0.07602929801772035,0.1850330572574827,0.2045871063660865,0.062036871580253845,0.7394766780432309,0.7428571428571429,0.9115281501340483,0.2608695652173913,0.7136975020587428,0.7132368365848543,17,ok,
Exathlon_id_19,Exathlon,DLinear,46660,42586,0,0,2928,43732,0.7144021374091121,0.3668101167820308,0.42557404139997734,0.3181571831261548,0.6312072487146089,0.35468035560799166,0.3744510335569412,0.31082929351391464,31780,30824,0.9940661847322415,0.8502420831062214,0.9946760581629299,0.8403759575759469,0.9276448543815934,1.0,27,,0.993866133651116,0.8488902917441988,0.9944964907196574,0.8389656500044349,0.9276448543815934,1.0,,0.9940661847322415,0.9942864236664553,0.9979644708780107,0.993866133651116,0.9941279509721158,0.9976863705110961,0.8502420831062214,0.853993452559691,0.9591893263948755,0.8488902917441988,0.8568450471689981,0.9541430174013212,0.9946760581629299,0.9949017289187875,0.9983008076711922,0.9944964907196574,0.9947792099852902,0.9980833112366554,0.8403759575759469,0.8440655904986998,0.9534587642461665,0.8389656500044349,0.846540945561879,0.9472427007479185,0.9276448543815934,0.9293508513942542,0.9496711373138405,0.9276448543815934,0.9260663206738935,0.9494061834432509,1.0,1.0,1.0,1.0,1.0,1.0,18,ok,
Exathlon_id_20,Exathlon,DLinear,46650,43406,0,0,3891,42759,0.06742861500921454,0.11671805013298805,0.052121331603542695,0.10565759748811546,0.0549441250857092,0.11192032236055273,0.035797141660123134,0.10180095055753431,33761,32613,0.9719269845327793,0.8684887362168978,0.9729103373881909,0.8694053910918372,0.9184110929010401,1.0,10,,0.9826815576779023,0.8810693981798035,0.9839910516936814,0.8763202825360101,0.9194859934925596,1.0,,0.9719269845327793,0.9747838875019339,0.9704141154536616,0.9826815576779023,0.9786516378224459,0.9761901061148698,0.8684887362168978,0.8328509508606945,0.8790913608880779,0.8810693981798035,0.8338443364626166,0.857492942156822,0.9729103373881909,0.975795978846535,0.9713937665972678,0.9839910516936814,0.9795943782171279,0.9771428157148375,0.8694053910918372,0.8302313463185154,0.8811028139667023,0.8763202825360101,0.83061608760209,0.8563953081246776,0.9184110929010401,0.915236451004595,0.893452009814386,0.9194859934925596,0.9154403245048387,0.9054391307600166,1.0,1.0,1.0,1.0,1.0,1.0,7,ok,
