dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_16,Exathlon,TimeMixer,46655,42582,0,0,2948,43707,0.30114635397662487,0.23684751589984238,0.16020148032531406,0.24309080181158577,0.2886317066278077,0.23241040095797136,0.15668280521134323,0.24119357919374124,31757,30801,10,0.9765093330420139,0.5867102036429359,0.9766180993519243,0.5958634326689571,0.776082764076011,0.9838144501918905,,ok,
Daphnet,Daphnet,TimeMixer,38774,35292,0,0,2306,36468,0.32812567875674853,0.1350568989662602,0.24357019332402166,0.09927832594459406,0.31695557069970487,0.12110497051148289,0.21068066646497036,0.08832921592216761,26488,25099,58,0.8912506168009003,0.256889208268896,0.8926916339737351,0.23691914958908003,0.3662450978522156,0.6936416184971098,,ok,
Exathlon_id_10,Exathlon,TimeMixer,46660,42586,0,0,2928,43732,0.4636009928655621,0.27139105979921185,0.3694450789781395,0.275738340387939,0.39487422586945453,0.2609330715754152,0.3131172110276214,0.267599643643496,31780,30824,27,0.9846851432145823,0.7290937989627245,0.985183385419432,0.7058603045413039,0.8034874171016219,0.989022124641108,,ok,
Exathlon_id_11,Exathlon,TimeMixer,46660,42586,0,0,2928,43732,0.5724633610363538,0.2748356920816184,0.3715286067444097,0.2788176686032894,0.39467722308210496,0.25775651411078776,0.32698928901299806,0.26769215200922625,31780,30824,27,0.9851524392986791,0.7472151839747999,0.9856704522899881,0.7252992158118016,0.7952293149381421,0.9937213643305617,,ok,
Exathlon_id_12,Exathlon,TimeMixer,46660,42586,0,0,2928,43732,0.48127534969607516,0.2671122276903059,0.3642414503136808,0.2649194220487824,0.38993146542532314,0.25541171931551865,0.3055470240103224,0.2567062339882674,31780,30824,27,0.9842780592571045,0.6999151887967215,0.9848028771412674,0.6780505452485258,0.8018346340935998,0.9843671205244579,,ok,
Exathlon_id_1,Exathlon,TimeMixer,43066,39262,0,0,5437,37629,0.8679072220897504,0.3279693271412263,0.6968971324643247,0.26601632653962476,0.5061720855828795,0.3096474788943919,0.42986526386537294,0.2636867448084733,26576,25907,30,0.9820711803813494,0.7769961599796337,0.9824537965399897,0.7631539050257938,0.9160217027985871,0.9934222547049151,,ok,
Exathlon_id_13,Exathlon,TimeMixer,43066,39262,0,0,5437,37629,0.6908825916440158,0.31119093985300283,0.5488869757564745,0.2667746266512171,0.541400692972247,0.3001406718127681,0.3874041852361905,0.26286624735142033,26576,25907,125,0.9913911569374547,0.8915929226020082,0.9928879572493431,0.8625259418719999,0.9420860249535004,0.9973401816013941,,ok,
Exathlon_id_14,Exathlon,TimeMixer,46660,44228,0,0,5817,40843,364.90671739662105,0.8533965379935398,0.3478304150538374,0.374854754835077,0.6341328003472456,0.34924657339316695,0.216726908381221,0.3206440898914904,34550,32828,125,0.968086747909519,0.8168198904579967,0.9781390073481058,0.7687704489072934,0.8786813941544384,0.9706324044718838,,ok,
Exathlon_id_2,Exathlon,TimeMixer,46656,42876,0,0,3787,42869,0.10179509864846863,0.1699287760599952,0.07651706995823716,0.16213532911860418,0.09197880800136195,0.1642000827598069,0.06019696133853977,0.1533679066890225,32085,31224,10,0.9368312444031581,0.6239726380551024,0.9378381992479539,0.6265868257581954,0.6917325867667607,1.0,,ok,
Exathlon_id_19,Exathlon,TimeMixer,46660,42586,0,0,2928,43732,0.7108709058530303,0.2822360287431223,0.38173575149140593,0.2915843866097587,0.3994637643511183,0.2611615844629846,0.3279715448098519,0.27979240165505137,31780,30824,27,0.983471306570972,0.719402254015889,0.9839219518474981,0.6998891652417873,0.7898058571319945,0.9922060318536089,,ok,
Exathlon_id_18,Exathlon,TimeMixer,46660,42586,0,0,2928,43732,0.5084874940343926,0.27306360084508247,0.3809920050152625,0.279550537996879,0.3965032497785132,0.25931764947540736,0.3206359774269291,0.270025259460663,31780,30824,27,0.9841255648225481,0.7447509845554136,0.9846277484822423,0.7277532946997336,0.7873045734838541,0.997275204359673,,ok,
Exathlon_id_20,Exathlon,TimeMixer,46650,43406,0,0,3891,42759,0.06944894178769714,0.12880730041064153,0.052710745723408746,0.10190514435552926,0.057930661729270985,0.12541337577776454,0.032054076629195724,0.09919342593613653,33761,32613,10,0.854207343159878,0.4368768921137402,0.8555200041472598,0.4369492809944009,0.5330429079223988,1.0,,ok,
